author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Daniel Kitchen,1,1,27.1875,0.21875,0.25,0.40625,0.75,8.25
Scott Smith,6,6,27.180779569892476,0.22967069892473116,0.27200940860215056,0.3345094086021505,0.853494623655914,6.012264784946236
Nick Guarisco,5,5,27.008064516129036,0.2070564516129032,0.2703629032258065,0.3639112903225806,0.8554435483870968,6.9362903225806445
Charles Davis,5,5,26.875,0.23125,0.25625,0.35625,0.81875,7.33125
Sam Teets,2,2,26.71875,0.21875,0.265625,0.34375,0.84375,6.25
Ayrton Ostly,1,1,26.5625,0.28125,0.25,0.28125,0.78125,11.59375
Cam Garrity,1,1,26.5625,0.1875,0.28125,0.34375,0.8125,8.71875
Keith Lott,1,1,26.25,0.1875,0.3125,0.25,0.8125,8.9375
Mike Freeman,1,1,26.25,0.1875,0.25,0.40625,0.78125,9.0
Steve Serby,5,5,26.114919354838708,0.2258064516129032,0.26391129032258065,0.307258064516129,0.8425403225806452,7.317741935483871
Richie Bradshaw,2,2,26.09375,0.21875,0.265625,0.3125,0.796875,11.609375
Ben Axelrod,4,4,26.04334677419355,0.21169354838709678,0.24344758064516128,0.376008064516129,0.803679435483871,7.569808467741936
Jason Pruett,5,5,25.993951612903224,0.2068548387096774,0.2703629032258065,0.313508064516129,0.8298387096774194,7.681854838709677
Josh Schrock,1,1,25.937500000000004,0.21875,0.25,0.34375,0.78125,6.75
Matt Johnson,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,4.78125
Nick Klopsis,1,1,25.937500000000004,0.21875,0.25,0.34375,0.71875,7.03125
Richard Janvrin,1,1,25.937500000000004,0.21875,0.25,0.34375,0.875,6.4375
Karen Guregian,1,1,25.937500000000004,0.1875,0.21875,0.46875,0.71875,9.25
Jacob Infante,4,4,25.728326612903228,0.22731854838709678,0.24319556451612903,0.33744959677419356,0.819304435483871,9.305443548387096
Evan Wanish,2,2,25.625,0.203125,0.265625,0.3125,0.859375,8.515625
Jeff McLane,1,1,25.625,0.1875,0.25,0.375,0.875,5.03125
John Daigle,5,5,25.60282258064516,0.21370967741935484,0.25826612903225804,0.31391129032258064,0.842741935483871,7.1493951612903235
Andrew Erickson,5,5,25.594758064516128,0.2004032258064516,0.251008064516129,0.35161290322580646,0.8300403225806452,7.226612903225806
Dan Parr,1,1,25.312500000000004,0.25,0.21875,0.34375,0.90625,5.40625
Mike Schneid,1,1,25.3125,0.21875,0.25,0.3125,0.8125,6.46875
Marco Enriquez,1,1,25.3125,0.15625,0.25,0.40625,0.84375,8.46875
Andrew Aziz,2,2,25.15625,0.203125,0.28125,0.25,0.796875,8.203125
Josh Norris,6,6,25.126008064516128,0.19304435483870966,0.2614247311827957,0.3131720430107527,0.8321572580645161,7.011592741935484
Jason Ramirez,1,1,25.0,0.28125,0.21875,0.28125,0.78125,6.25
Daniel Spencer,1,1,25.0,0.21875,0.21875,0.375,0.78125,8.40625
Alex Butler,1,1,25.0,0.1875,0.25,0.34375,0.71875,9.53125
Logan Jakubajtys,1,1,25.0,0.1875,0.25,0.34375,0.71875,11.65625
Sean Newcomb,1,1,24.6875,0.25,0.21875,0.3125,0.8125,10.875
Cole Thompson,1,1,24.6875,0.21875,0.25,0.28125,0.84375,11.0625
Jeremy Hayes,1,1,24.6875,0.1875,0.28125,0.25,0.75,8.15625
Dan Hope,4,4,24.531250000000004,0.21875,0.234375,0.3125,0.8203125,7.78125
Kyle Meinke,2,2,24.53125,0.1875,0.203125,0.4375,0.765625,8.265625
Jon Ledyard,3,3,24.479166666666668,0.20833333333333334,0.23958333333333334,0.3125,0.8020833333333334,8.510416666666666
James Dator,2,2,24.375,0.21875,0.25,0.265625,0.828125,8.390625
Andrew Callahan,1,1,24.375,0.1875,0.25,0.3125,0.84375,10.09375
Ray Mencio,1,1,24.375,0.1875,0.25,0.3125,0.84375,5.25
Anthony Rizzuti,3,3,24.301075268817204,0.18817204301075266,0.2513440860215054,0.30443548387096775,0.830981182795699,8.31518817204301
Michael Middlehurst-Schwartz,5,5,24.288306451612904,0.2133064516129032,0.24495967741935484,0.2820564516129032,0.8491935483870968,7.179233870967742
Anthony Staggs,3,3,24.28763440860215,0.167002688172043,0.27251344086021506,0.2825940860215054,0.863239247311828,6.694220430107527
Matthew Freedman,6,6,24.255712365591396,0.18279569892473116,0.23538306451612903,0.3501344086021505,0.8482862903225806,7.006552419354839
RJ White,4,4,24.140625,0.1984375,0.2625,0.253125,0.8578125,6.4375
Kory Woods,1,1,24.0625,0.25,0.21875,0.28125,0.8125,13.6875
Bruce Nolan,1,1,24.0625,0.21875,0.25,0.25,0.8125,6.8125
Erich Richter,1,1,24.0625,0.21875,0.25,0.25,0.84375,5.71875
Matt Kelley,1,1,24.0625,0.21875,0.25,0.25,0.8125,10.53125
Ryan McCrystal,1,1,24.0625,0.1875,0.28125,0.21875,0.84375,8.0
Ben Morgan,1,1,24.0625,0.1875,0.21875,0.375,0.71875,9.28125
Timo Riske,1,1,24.0625,0.1875,0.21875,0.375,0.875,8.0625
Daniel Jeremiah,6,6,23.98353494623656,0.18850806451612903,0.24109543010752688,0.3136760752688172,0.8323252688172044,6.802083333333333
Dylan Mickanen,1,1,23.75,0.1875,0.25,0.28125,0.75,9.53125
Joe Serpico,1,1,23.75,0.1875,0.25,0.28125,0.84375,7.25
