mock_relative_url,selection_count,player_drafted_matches,round_one_player_matches,player_to_team_matches,round_matches,correct_player_in_round_matches,same_position_same_round_matches,same_position_plus_minus_one_round_matches,mean_pick_abs_error,median_pick_abs_error,player_to_pick_matches,team_to_position_matches,player_to_pick_match_rate,player_to_team_match_rate,round_one_player_match_rate,team_to_position_match_rate,round_match_rate,player_drafted_match_rate,correct_player_in_round_rate,same_position_same_round_rate,same_position_plus_minus_one_round_rate,generous_score_points,generous_score_max_points,generous_score_rate,simple_score_points,simple_score_max_points,simple_score_rate,custom_accuracy_score,mock_name,author_name,published_at,external_url,metadata_selection_count
/team-mock-drafts/2025/patriots-mass-live-2025-mark-daniels?date=2025-04-18,8,7,2,0,3,0,0,3,,,0,0,0.0,0.0,0.25,0.0,0.375,0.875,0.0,0.0,0.375,3,24,0.125,3,24,0.125,12.5,Mass Live,Mark Daniels,04/18/25,https://www.masslive.com/patriots/2025/04/7-round-patriots-mock-draft-30-mark-daniels.html?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,8
/team-mock-drafts/2025/steelers-steelers-depot-2025-jonathan-heitritter?date=2025-04-21,6,6,1,1,1,0,0,2,,,0,0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.0,0.0,0.0,0.3333333333333333,2,18,0.1111111111111111,2,18,0.1111111111111111,11.11111111111111,Steelers Depot,Jonathan Heitritter,04/20/25,https://steelersdepot.com/2025/04/heitritter-pittsburgh-steelers-2025-mock-draft-final-version/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,6
/team-mock-drafts/2025/bears-last-word-on-sports-2025-isaac-zuniga?date=2025-04-15,9,7,1,0,3,0,0,3,,,0,0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.7777777777777778,0.0,0.0,0.3333333333333333,3,27,0.1111111111111111,3,27,0.1111111111111111,11.11111111111111,Last Word on Sports,Isaac Zuniga,04/15/25,https://lastwordonsports.com/nfl/2025/04/15/bears-ravens-agree-on-massive-trade-in-latest-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,9
/team-mock-drafts/2025/bears-the-athletic-2025-jon-greenberg?date=2025-04-23,9,9,1,0,3,0,1,1,,,0,0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,1.0,0.0,0.1111111111111111,0.1111111111111111,3,27,0.1111111111111111,3,27,0.1111111111111111,11.11111111111111,The Athletic,Jon Greenberg,04/23/25,https://www.nytimes.com/athletic/6298892/2025/04/23/chicago-bears-mock-draft-nfl-greenberg/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,9
/team-mock-drafts/2025/bengals-bengals-wire-2025-bill-riccette?date=2025-04-23,6,6,1,0,3,0,1,0,,,0,0,0.0,0.0,0.16666666666666666,0.0,0.5,1.0,0.0,0.16666666666666666,0.0,2,18,0.1111111111111111,2,18,0.1111111111111111,11.11111111111111,Bengals Wire,Bill Riccette,04/23/25,https://bengalswire.usatoday.com/story/sports/nfl/bengals/2025/04/23/bengals-mock-draft-2025-picking-cincy-path-through-7-rounds/83208259007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,6
/team-mock-drafts/2025/buccaneers-buccaneers-com-2025-scott-smith?date=2025-04-10,6,5,1,0,2,0,1,0,,,0,0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.0,2,18,0.1111111111111111,2,18,0.1111111111111111,11.11111111111111,Buccaneers.com,Scott Smith,04/10/25,https://www.buccaneers.com/news/buccaneers-com-2025-mock-draft-9-full-bucs-draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,6
/team-mock-drafts/2025/cardinals-cards-wire-2025-jess-root?date=2025-04-12,6,5,2,0,3,0,0,2,,,0,0,0.0,0.0,0.3333333333333333,0.0,0.5,0.8333333333333334,0.0,0.0,0.3333333333333333,2,18,0.1111111111111111,2,18,0.1111111111111111,11.11111111111111,Cards Wire,Jess Root,04/12/25,https://cardswire.usatoday.com/story/sports/nfl/cardinals/2025/04/12/nfl-mock-draft-arizona-cardinals-trade-fill-needs-in-7-round-mock/83059631007/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,6
/team-mock-drafts/2025/cardinals-si-2025-richie-bradshaw?date=2025-04-24,6,6,1,0,2,0,1,0,,,0,0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,1.0,0.0,0.16666666666666666,0.0,2,18,0.1111111111111111,2,18,0.1111111111111111,11.11111111111111,SI,Richie Bradshaw,04/24/25,https://www.si.com/nfl/cardinals/news/final-arizona-cardinals-nfl-mock-draft-2025?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,6
/team-mock-drafts/2025/lions-sporting-news-2025-dharya-sharma?date=2025-04-17,3,3,1,0,2,0,0,1,,,0,0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,1,9,0.1111111111111111,1,9,0.1111111111111111,11.11111111111111,Sporting News,Dharya Sharma,04/17/25,https://www.sportingnews.com/us/nfl/detroit-lions/news/lions-3-round-nfl-mock-draft-detroit-trades-explosive-receiver-round-1/497001ed1178702c8f49a56e?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,3
/team-mock-drafts/2025/packers-acme-packing-company-2025-justis-mosqueda?date=2025-04-11,3,3,1,0,3,0,0,1,,,0,0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,1,9,0.1111111111111111,1,9,0.1111111111111111,11.11111111111111,Acme Packing Company,Justis Mosqueda,04/11/25,https://www.acmepackingcompany.com/2025/4/11/24406389/green-bay-packers-mock-draft-4-0-2025-nfl-draft-walter-nolen-jayden-higgins-charles-grant?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,3
/team-mock-drafts/2025/patriots-clutch-points-2025-enzo-flojo?date=2025-04-21,9,8,1,0,2,0,1,1,,,0,0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,3,27,0.1111111111111111,3,27,0.1111111111111111,11.11111111111111,Clutch Points,Enzo Flojo,04/20/25,https://clutchpoints.com/nfl/new-england-patriots/new-england-patriots-2025-nfl-mock-draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,9
