year,team_slug,team_name,team_code,team_city,team_page_url,team_needs,draft_pick_count,team_page_total_pages,team_page_total_count
2025,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,WR|IOL|LB,6,1,19
2025,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,WR|S|IOL,5,2,32
2025,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,CB|OT|WR,11,1,16
2025,buffalo-bills,Buffalo Bills,BUF,Buffalo,https://www.nflmockdraftdatabase.com/teams/2026/buffalo-bills,S|IOL|LB,10,2,29
2025,carolina-panthers,Carolina Panthers,CAR,Carolina,https://www.nflmockdraftdatabase.com/teams/2026/carolina-panthers,S|TE|LB,9,2,53
2025,chicago-bears,Chicago Bears,CHI,Chicago,https://www.nflmockdraftdatabase.com/teams/2026/chicago-bears,DL|S|WR,7,4,91
2025,cincinnati-bengals,Cincinnati Bengals,CIN,Cincinnati,https://www.nflmockdraftdatabase.com/teams/2026/cincinnati-bengals,LB|CB|OT,6,2,31
2025,cleveland-browns,Cleveland Browns,CLE,Cleveland,https://www.nflmockdraftdatabase.com/teams/2026/cleveland-browns,WR|DL|OT,8,4,89
2025,dallas-cowboys,Dallas Cowboys,DAL,Dallas,https://www.nflmockdraftdatabase.com/teams/2026/dallas-cowboys,IOL|TE|DL,10,4,87
2025,denver-broncos,Denver Broncos,DEN,Denver,https://www.nflmockdraftdatabase.com/teams/2026/denver-broncos,LB|EDGE|CB,7,3,67
2025,detroit-lions,Detroit Lions,DET,Detroit,https://www.nflmockdraftdatabase.com/teams/2026/detroit-lions,OT|CB|S,7,2,34
2025,green-bay-packers,Green Bay Packers,GB,Green Bay,https://www.nflmockdraftdatabase.com/teams/2026/green-bay-packers,IOL|OT|LB,8,2,44
2025,houston-texans,Houston Texans,HOU,Houston,https://www.nflmockdraftdatabase.com/teams/2026/houston-texans,CB|TE|EDGE,9,2,28
2025,indianapolis-colts,Indianapolis Colts,IND,Indianapolis,https://www.nflmockdraftdatabase.com/teams/2026/indianapolis-colts,S|OT|DL,7,2,29
2025,jacksonville-jaguars,Jacksonville Jaguars,JAC,Jacksonville,https://www.nflmockdraftdatabase.com/teams/2026/jacksonville-jaguars,TE|OT|EDGE,10,2,53
2025,kansas-city-chiefs,Kansas City Chiefs,KC,Kansas City,https://www.nflmockdraftdatabase.com/teams/2026/kansas-city-chiefs,RB|WR|CB,8,2,41
2025,las-vegas-raiders,Las Vegas Raiders,LV,Las Vegas,https://www.nflmockdraftdatabase.com/teams/2026/las-vegas-raiders,WR|QB|EDGE,9,2,54
2025,los-angeles-rams,Los Angeles Rams,LAR,Los Angeles,https://www.nflmockdraftdatabase.com/teams/2026/los-angeles-rams,TE|QB|S,8,2,36
2025,los-angeles-chargers,Los Angeles Chargers,LAC,Los Angeles,https://www.nflmockdraftdatabase.com/teams/2026/los-angeles-chargers,CB|RB|IOL,10,1,20
2025,miami-dolphins,Miami Dolphins,MIA,Miami,https://www.nflmockdraftdatabase.com/teams/2026/miami-dolphins,IOL|TE|WR,10,2,48
2025,minnesota-vikings,Minnesota Vikings,MIN,Minnesota,https://www.nflmockdraftdatabase.com/teams/2026/minnesota-vikings,RB|EDGE|WR,4,2,40
2025,new-england-patriots,New England Patriots,NE,New England,https://www.nflmockdraftdatabase.com/teams/2026/new-england-patriots,IOL|DL|CB,9,4,103
2025,new-orleans-saints,New Orleans Saints,NO,New Orleans,https://www.nflmockdraftdatabase.com/teams/2026/new-orleans-saints,CB|TE|DL,9,2,35
2025,new-york-giants,New York Giants,NYG,New York,https://www.nflmockdraftdatabase.com/teams/2026/new-york-giants,OT|IOL|RB,8,3,65
2025,new-york-jets,New York Jets,NYJ,New York,https://www.nflmockdraftdatabase.com/teams/2026/new-york-jets,QB|RB|EDGE,8,2,41
2025,philadelphia-eagles,Philadelphia Eagles,PHI,Philadelphia,https://www.nflmockdraftdatabase.com/teams/2026/philadelphia-eagles,WR|TE|CB,8,2,48
2025,pittsburgh-steelers,Pittsburgh Steelers,PIT,Pittsburgh,https://www.nflmockdraftdatabase.com/teams/2026/pittsburgh-steelers,WR|CB|OT,6,5,123
2025,san-francisco-49ers,San Francisco 49ers,SF,San Francisco,https://www.nflmockdraftdatabase.com/teams/2026/san-francisco-49ers,TE|WR|IOL,11,1,27
2025,seattle-seahawks,Seattle Seahawks,SEA,Seattle,https://www.nflmockdraftdatabase.com/teams/2026/seattle-seahawks,EDGE|CB|TE,10,2,43
2025,tampa-bay-buccaneers,Tampa Bay Buccaneers,TB,Tampa Bay,https://www.nflmockdraftdatabase.com/teams/2026/tampa-bay-buccaneers,WR|DL|IOL,6,2,36
2025,tennessee-titans,Tennessee Titans,TEN,Tennessee,https://www.nflmockdraftdatabase.com/teams/2026/tennessee-titans,LB|RB|DL,8,2,52
2025,washington-commanders,Washington Commanders,WAS,Washington,https://www.nflmockdraftdatabase.com/teams/2026/washington-commanders,S|DL|LB,5,2,35
