player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Ty Robinson,DL,18,18,17,5.166666666666667,5.0,3,7,,,,,12,San Francisco 49ers,san-francisco-49ers
Harold Fannin Jr.,TE,16,16,16,2.9375,3.0,2,4,,,,,8,Cleveland Browns,cleveland-browns
Jayden Higgins,WR,16,16,14,2.1875,2.0,2,3,,,,,11,Green Bay Packers,green-bay-packers
Tate Ratledge,IOL,16,16,15,2.8125,3.0,2,4,,,,,11,Indianapolis Colts,indianapolis-colts
Abdul Carter,EDGE,15,15,15,1.0,1.0,1,1,,,,,3,New York Giants,new-york-giants
Kyle Williams,WR,15,15,13,3.2666666666666666,3.0,2,5,,,,,13,New England Patriots,new-england-patriots
Jalen Milroe,QB,13,13,13,1.6923076923076923,2.0,1,2,,,,,6,New York Giants,new-york-giants
Malachi Moore,S,13,13,13,5.461538461538462,5.0,4,7,,,,,10,Philadelphia Eagles,philadelphia-eagles
Darius Alexander,DL,12,12,12,2.5,3.0,1,3,,,,,8,New York Giants,new-york-giants
Derrick Harmon,DL,12,12,12,1.25,1.0,1,3,,,,,5,Pittsburgh Steelers,pittsburgh-steelers
Damien Martinez,RB,11,11,11,3.4545454545454546,3.0,3,4,,,,,7,New England Patriots,new-england-patriots
Kenneth Grant,DL,11,11,11,1.5454545454545454,2.0,1,2,,,,,8,Buffalo Bills,buffalo-bills
R.J. Harvey Jr.,RB,11,11,10,4.090909090909091,4.0,3,5,,,,,8,Pittsburgh Steelers,pittsburgh-steelers
Zah Frazier,CB,11,11,11,5.7272727272727275,6.0,5,7,,,,,8,Seattle Seahawks,seattle-seahawks
Brashard Smith,RB,10,10,10,5.5,5.0,5,7,,,,,7,Buffalo Bills,buffalo-bills
Jalen Travis,OT,10,10,10,6.1,6.5,5,7,,,,,8,Philadelphia Eagles,philadelphia-eagles
Jamaree Caldwell,DL,10,10,10,4.3,4.0,3,5,,,,,9,Pittsburgh Steelers,pittsburgh-steelers
Mason Taylor,TE,10,10,10,2.1,2.0,1,4,,,,,8,New England Patriots,new-england-patriots
Ozzy Trapilo,OT,10,10,9,3.1,3.0,2,4,,,,,6,New England Patriots,new-england-patriots
Travis Hunter,CB,10,10,10,1.0,1.0,1,1,,,,,5,Cleveland Browns,cleveland-browns
Walter Nolen,DL,10,10,10,1.2,1.0,1,2,,,,,7,Cincinnati Bengals,cincinnati-bengals
