team_slug,team_name,player_position,mock_count,unique_players,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick
arizona-cardinals,Arizona Cardinals,EDGE,69,8,1.0,1.0,1,1,16.0,16.0,14,18
arizona-cardinals,Arizona Cardinals,CB,58,2,1.0,1.0,1,1,16.0,16.0,16,16
arizona-cardinals,Arizona Cardinals,DL,48,4,1.0,1.0,1,1,16.229166666666668,16.0,10,23
arizona-cardinals,Arizona Cardinals,OT,26,5,1.0,1.0,1,1,15.884615384615385,16.0,13,16
arizona-cardinals,Arizona Cardinals,WR,17,3,1.0,1.0,1,1,16.0,16.0,16,16
arizona-cardinals,Arizona Cardinals,LB,14,1,1.0,1.0,1,1,16.0,16.0,16,16
arizona-cardinals,Arizona Cardinals,IOL,10,2,1.0,1.0,1,1,17.5,16.0,16,31
arizona-cardinals,Arizona Cardinals,S,2,1,1.0,1.0,1,1,16.0,16.0,16,16
arizona-cardinals,Arizona Cardinals,QB,1,1,1.0,1.0,1,1,8.0,8.0,8,8
atlanta-falcons,Atlanta Falcons,EDGE,204,7,1.0,1.0,1,1,15.245098039215685,15.0,13,31
atlanta-falcons,Atlanta Falcons,LB,14,2,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,CB,9,2,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,DL,6,3,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,WR,6,3,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,S,2,2,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,RB,1,1,1.0,1.0,1,1,15.0,15.0,15,15
atlanta-falcons,Atlanta Falcons,TE,1,1,1.0,1.0,1,1,15.0,15.0,15,15
baltimore-ravens,Baltimore Ravens,S,79,2,1.0,1.0,1,1,26.949367088607595,27.0,19,31
baltimore-ravens,Baltimore Ravens,EDGE,70,7,1.0,1.0,1,1,27.2,27.0,27,32
baltimore-ravens,Baltimore Ravens,IOL,42,3,1.0,1.0,1,1,27.0,27.0,27,27
baltimore-ravens,Baltimore Ravens,DL,24,5,1.0,1.0,1,1,26.75,27.0,21,27
baltimore-ravens,Baltimore Ravens,CB,11,5,1.0,1.0,1,1,27.0,27.0,27,27
baltimore-ravens,Baltimore Ravens,OT,7,3,1.0,1.0,1,1,27.0,27.0,27,27
baltimore-ravens,Baltimore Ravens,WR,4,3,1.0,1.0,1,1,27.0,27.0,27,27
baltimore-ravens,Baltimore Ravens,LB,3,1,1.0,1.0,1,1,27.0,27.0,27,27
baltimore-ravens,Baltimore Ravens,TE,1,1,1.0,1.0,1,1,27.0,27.0,27,27
buffalo-bills,Buffalo Bills,CB,83,6,1.0,1.0,1,1,29.46987951807229,30.0,21,30
buffalo-bills,Buffalo Bills,DL,61,4,1.0,1.0,1,1,29.65573770491803,30.0,21,30
buffalo-bills,Buffalo Bills,S,33,3,1.0,1.0,1,1,29.484848484848484,30.0,24,30
buffalo-bills,Buffalo Bills,EDGE,26,8,1.0,1.0,1,1,29.53846153846154,30.0,24,30
buffalo-bills,Buffalo Bills,WR,20,5,1.0,1.0,1,1,29.15,30.0,19,30
buffalo-bills,Buffalo Bills,IOL,5,3,1.0,1.0,1,1,30.0,30.0,30,30
buffalo-bills,Buffalo Bills,LB,3,1,1.0,1.0,1,1,30.0,30.0,30,30
buffalo-bills,Buffalo Bills,RB,1,1,1.0,1.0,1,1,30.0,30.0,30,30
carolina-panthers,Carolina Panthers,EDGE,193,7,1.0,1.0,1,1,8.191709844559586,8.0,3,21
carolina-panthers,Carolina Panthers,DL,26,3,1.0,1.0,1,1,8.26923076923077,8.0,8,12
carolina-panthers,Carolina Panthers,WR,14,2,1.0,1.0,1,1,8.0,8.0,8,8
carolina-panthers,Carolina Panthers,CB,7,2,1.0,1.0,1,1,9.714285714285714,8.0,8,16
carolina-panthers,Carolina Panthers,TE,6,1,1.0,1.0,1,1,8.5,8.0,8,11
carolina-panthers,Carolina Panthers,OT,2,1,1.0,1.0,1,1,8.0,8.0,8,8
carolina-panthers,Carolina Panthers,S,2,1,1.0,1.0,1,1,8.0,8.0,8,8
chicago-bears,Chicago Bears,RB,83,3,1.0,1.0,1,1,8.698795180722891,10.0,3,30
chicago-bears,Chicago Bears,OT,69,5,1.0,1.0,1,1,10.318840579710145,10.0,9,23
chicago-bears,Chicago Bears,TE,53,2,1.0,1.0,1,1,9.962264150943396,10.0,8,10
chicago-bears,Chicago Bears,EDGE,24,6,1.0,1.0,1,1,11.208333333333334,10.0,10,25
