player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Trevor Lawrence,QB,254,254,236,1.0,1.0,1,1,1.0,1.0,1,1,2,Jacksonville Jaguars,jacksonville-jaguars
Zach Wilson,QB,254,254,236,1.0,1.0,1,1,2.0118110236220472,2.0,2,3,3,New York Jets,new-york-jets
Kyle Pitts,TE,254,254,236,1.0,1.0,1,1,4.78740157480315,4.0,4,13,8,Atlanta Falcons,atlanta-falcons
Ja'Marr Chase,WR,254,254,236,1.0,1.0,1,1,5.649606299212598,5.0,4,12,8,Cincinnati Bengals,cincinnati-bengals
Penei Sewell,OT,254,254,236,1.0,1.0,1,1,6.5984251968503935,6.0,3,13,12,Cincinnati Bengals,cincinnati-bengals
Patrick Surtain II,CB,254,254,236,1.0,1.0,1,1,10.137795275590552,10.0,6,17,13,Dallas Cowboys,dallas-cowboys
Jaylen Waddle,WR,254,254,236,1.0,1.0,1,1,9.779527559055119,11.0,5,21,13,Philadelphia Eagles,philadelphia-eagles
Trey Lance,QB,253,253,235,1.0,1.0,1,1,7.620553359683795,8.0,3,24,15,Denver Broncos,denver-broncos
Rashawn Slater,OT,253,253,235,1.0,1.0,1,1,9.964426877470355,9.0,5,17,14,Carolina Panthers,carolina-panthers
Devonta Smith,WR,253,253,235,1.0,1.0,1,1,11.612648221343873,12.0,6,22,17,Miami Dolphins,miami-dolphins
Micah Parsons,EDGE,253,253,235,1.0,1.0,1,1,13.505928853754941,15.0,6,30,19,New York Giants,new-york-giants
Justin Fields,QB,252,252,234,1.0,1.0,1,1,7.166666666666667,7.0,2,20,11,New England Patriots,new-england-patriots
Jaycee Horn,CB,252,252,234,1.0,1.0,1,1,12.936507936507937,12.0,8,29,19,Philadelphia Eagles,philadelphia-eagles
Mac Jones,QB,251,251,234,1.0,1.0,1,1,8.50597609561753,7.0,3,32,11,San Francisco 49ers,san-francisco-49ers
Christian Darrisaw,OT,251,251,233,1.0,1.0,1,1,15.593625498007968,14.0,9,30,20,Los Angeles Chargers,los-angeles-chargers
Kwity Paye,EDGE,251,251,234,1.0,1.0,1,1,17.804780876494025,18.0,4,32,23,Miami Dolphins,miami-dolphins
Jeremiah Owusu-Koramoah,LB,243,243,225,1.0,1.0,1,1,21.19753086419753,19.0,9,32,20,Washington Commanders,washington-commanders
Alijah Vera-Tucker,IOL,241,241,223,1.0,1.0,1,1,16.738589211618258,16.0,9,31,20,Minnesota Vikings,minnesota-vikings
Teven Jenkins,OT,232,232,216,1.0,1.0,1,1,21.512931034482758,21.0,14,32,16,Chicago Bears,chicago-bears
Greg Newsome II,CB,230,230,212,1.0,1.0,1,1,22.495652173913044,22.0,14,32,19,New York Jets,new-york-jets
Caleb Farley,CB,226,226,209,1.0,1.0,1,1,20.836283185840706,21.0,8,32,24,Arizona Cardinals,arizona-cardinals
Jaelan Phillips,EDGE,226,225,211,1.0,1.0,1,1,21.04424778761062,21.0,10,32,21,Miami Dolphins,miami-dolphins
Azeez Ojulari,EDGE,204,203,189,1.0,1.0,1,1,22.848039215686274,23.0,9,32,21,Baltimore Ravens,baltimore-ravens
Najee Harris,RB,203,203,186,1.0,1.0,1,1,23.67487684729064,24.0,12,32,8,Pittsburgh Steelers,pittsburgh-steelers
Christian Barmore,DL,194,194,179,1.0,1.0,1,1,25.551546391752577,26.0,13,32,18,Tampa Bay Buccaneers,tampa-bay-buccaneers
Zaven Collins,LB,185,185,171,1.0,1.0,1,1,23.286486486486485,26.0,11,32,23,Cleveland Browns,cleveland-browns
