player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Asante Samuel Jr.,CB,16,16,14,1.875,2.0,1,2,,,,,12,Arizona Cardinals,arizona-cardinals
Kendrick Green,IOL,13,13,10,3.923076923076923,4.0,3,5,,,,,9,Minnesota Vikings,minnesota-vikings
Dylan Moses,LB,12,12,12,3.4166666666666665,3.5,2,4,,,,,8,Philadelphia Eagles,philadelphia-eagles
Micah Parsons,EDGE,12,12,10,1.0,1.0,1,1,,,,,7,New England Patriots,new-england-patriots
Shaka Toney,EDGE,12,12,11,5.083333333333333,5.0,4,7,,,,,10,Pittsburgh Steelers,pittsburgh-steelers
Jonathon Cooper,EDGE,11,11,11,5.545454545454546,5.0,5,7,,,,,9,Dallas Cowboys,dallas-cowboys
Nico Collins,WR,11,11,11,3.1818181818181817,3.0,2,5,,,,,10,New England Patriots,new-england-patriots
Paulson Adebo,CB,11,11,10,3.0,3.0,2,4,,,,,10,Minnesota Vikings,minnesota-vikings
Simi Fehoko,WR,11,11,10,5.181818181818182,6.0,3,6,,,,,9,Atlanta Falcons,atlanta-falcons
Teven Jenkins,OT,11,11,11,1.1818181818181819,1.0,1,2,,,,,8,Las Vegas Raiders,las-vegas-raiders
Walker Little,OT,11,11,11,3.6363636363636362,4.0,2,5,,,,,9,Dallas Cowboys,dallas-cowboys
Alim McNeill,DL,10,10,10,3.3,3.0,2,4,,,,,6,Las Vegas Raiders,las-vegas-raiders
Avery Williams,CB,10,10,9,6.3,6.0,6,7,,,,,8,Dallas Cowboys,dallas-cowboys
Benjamin St-Juste,CB,10,10,8,3.6,4.0,3,4,,,,,7,Minnesota Vikings,minnesota-vikings
Cornell Powell,WR,10,10,9,5.7,6.0,5,6,,,,,9,Tennessee Titans,tennessee-titans
Jabril Cox,LB,10,10,9,2.4,2.0,2,3,,,,,8,Denver Broncos,denver-broncos
Jaelon Darden,WR,10,10,10,5.3,5.5,4,7,,,,,10,Arizona Cardinals,arizona-cardinals
James Wiggins,S,10,10,8,4.3,4.0,3,5,,,,,7,Philadelphia Eagles,philadelphia-eagles
Jaycee Horn,CB,10,10,10,1.0,1.0,1,1,,,,,5,Philadelphia Eagles,philadelphia-eagles
Payton Turner,EDGE,10,10,10,2.4,2.0,2,3,,,,,8,Cleveland Browns,cleveland-browns
Tre' McKitty,TE,10,10,10,5.7,6.0,5,6,,,,,10,Arizona Cardinals,arizona-cardinals
Brady Christensen,OT,9,9,9,3.4444444444444446,3.0,2,5,,,,,4,Tennessee Titans,tennessee-titans
Dillon Radunz,OT,9,9,7,2.0,2.0,1,3,,,,,6,Las Vegas Raiders,las-vegas-raiders
Dyami Brown,WR,9,9,9,2.111111111111111,2.0,2,3,,,,,6,Kansas City Chiefs,kansas-city-chiefs
Greg Newsome II,CB,9,9,8,1.1111111111111112,1.0,1,2,,,,,8,Green Bay Packers,green-bay-packers
Ifeatu Melifonwu,CB,9,9,8,2.111111111111111,2.0,1,3,,,,,8,Buffalo Bills,buffalo-bills
Joshua Kaindoh,EDGE,9,9,8,5.888888888888889,6.0,5,7,,,,,8,Philadelphia Eagles,philadelphia-eagles
Milton Williams,DL,9,9,9,3.5555555555555554,3.0,2,5,,,,,8,Atlanta Falcons,atlanta-falcons
Quinn Meinerz,IOL,9,9,9,2.4444444444444446,2.0,2,4,,,,,7,Miami Dolphins,miami-dolphins
Richie Grant,S,9,9,9,2.5555555555555554,2.0,2,4,,,,,5,Denver Broncos,denver-broncos
Spencer Brown,OT,9,9,9,3.111111111111111,3.0,2,4,,,,,7,Pittsburgh Steelers,pittsburgh-steelers
Travis Etienne,RB,9,9,9,1.3333333333333333,1.0,1,2,,,,,5,Buffalo Bills,buffalo-bills
Ambry Thomas,CB,8,8,8,4.75,5.0,4,6,,,,,7,San Francisco 49ers,san-francisco-49ers
