team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Dani Dennis-Sutton,EDGE,1,1,1,4.0,4.0,4,4,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Domonique Orange,DL,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Drew Allar,QB,1,1,1,4.0,4.0,4,4,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Elijah Sarratt,WR,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Francis Mauigoa,OT,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Harold Perkins,LB,1,1,1,7.0,7.0,7,7,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,J'Mari Taylor,RB,1,1,1,6.0,6.0,6,6,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Jack Kelly,LB,1,1,1,6.0,6.0,6,6,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Jamarion Miller,RB,1,1,1,7.0,7.0,7,7,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Keionte Scott,CB,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Keylan Rutledge,IOL,1,1,1,3.0,3.0,3,3,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Lee Hunter,DL,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Sonny Styles,LB,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Spencer Fano,OT,1,1,1,1.0,1.0,1,1,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,T.J. Parker,EDGE,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Taurean York,LB,1,1,1,5.0,5.0,5,5,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Ty Simpson,QB,1,1,1,2.0,2.0,2,2,,,,,18,0.05555555555555555
arizona-cardinals,Arizona Cardinals,Zane Durant,DL,1,1,1,5.0,5.0,5,5,,,,,18,0.05555555555555555
atlanta-falcons,Atlanta Falcons,Chris Johnson,CB,1,1,1,2.0,2.0,2,2,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Christen Miller,DL,1,1,1,2.0,2.0,2,2,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Davison Igbinosun,CB,1,1,1,3.0,3.0,3,3,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Germie Bernard,WR,1,1,1,2.0,2.0,2,2,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Jack Kelly,LB,1,1,1,6.0,6.0,6,6,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Jude Bowry,OT,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Kaleb Proctor,DL,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Landon Robinson,DL,1,1,1,4.0,4.0,4,4,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Lewis Bond,WR,1,1,1,6.0,6.0,6,6,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Malachi Fields,WR,1,1,1,3.0,3.0,3,3,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Mike Washington Jr.,RB,1,1,1,3.0,3.0,3,3,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Nadame Tucker,EDGE,1,1,1,6.0,6.0,6,6,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Owen Heinecke,LB,1,1,1,7.0,7.0,7,7,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Parker Brailsford,IOL,1,1,1,7.0,7.0,7,7,,,,,15,0.06666666666666667
atlanta-falcons,Atlanta Falcons,Quintayvious Hutchins,EDGE,1,1,1,7.0,7.0,7,7,,,,,15,0.06666666666666667
baltimore-ravens,Baltimore Ravens,Chris Johnson,CB,1,1,1,2.0,2.0,2,2,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Darrell Jackson Jr.,DL,1,1,1,3.0,3.0,3,3,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,De'Zhaun Stribling,WR,1,1,1,4.0,4.0,4,4,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Devon Marshall,CB,1,1,1,5.0,5.0,5,5,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Eric Gentry,LB,1,1,1,7.0,7.0,7,7,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,George Gumbs Jr.,EDGE,1,1,1,6.0,6.0,6,6,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Hezekiah Masses,CB,1,1,1,5.0,5.0,5,5,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Jaydn Ott,RB,1,1,1,5.0,5.0,5,5,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Jeremiah Wright,IOL,1,1,1,5.0,5.0,5,5,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Lake McRee,TE,1,1,1,7.0,7.0,7,7,,,,,11,0.09090909090909091
baltimore-ravens,Baltimore Ravens,Olaivavega Ioane,IOL,1,1,1,1.0,1.0,1,1,,,,,11,0.09090909090909091
buffalo-bills,Buffalo Bills,Aamil Wagner,OT,1,1,1,6.0,6.0,6,6,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Aiden Fisher,LB,1,1,1,4.0,4.0,4,4,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Bryce Boettcher,LB,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Bryce Lance,WR,1,1,1,4.0,4.0,4,4,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Cade Klubnik,QB,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Cashius Howell,EDGE,1,1,1,1.0,1.0,1,1,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,DeMonte Capehart,DL,1,1,1,4.0,4.0,4,4,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Demond Claiborne,RB,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Diego Pounds,OT,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Dontay Corleone,DL,1,1,1,4.0,4.0,4,4,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Ephesians Prysock,CB,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Fernando Carmona,IOL,1,1,1,7.0,7.0,7,7,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Hezekiah Masses,CB,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Kage Casey,OT,1,1,1,4.0,4.0,4,4,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Kayden McDonald,DL,1,1,1,1.0,1.0,1,1,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Malik Muhammad,CB,1,1,1,3.0,3.0,3,3,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Max Llewellyn,EDGE,1,1,1,5.0,5.0,5,5,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Red Murdock,LB,1,1,1,7.0,7.0,7,7,,,,,21,0.047619047619047616
buffalo-bills,Buffalo Bills,Skyler Bell,WR,1,1,1,3.0,3.0,3,3,,,,,21,0.047619047619047616
