player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Bryson Eason,DL,1,1,1,6.0,6.0,6,6,,,,,1,Jacksonville Jaguars,jacksonville-jaguars
Byron Cardwell,RB,1,1,1,7.0,7.0,7,7,,,,,1,Cincinnati Bengals,cincinnati-bengals
Cameron Ball,DL,1,1,1,7.0,7.0,7,7,,,,,1,Denver Broncos,denver-broncos
Carver Willis,OT,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Chase Roberts,WR,1,1,1,6.0,6.0,6,6,,,,,1,New York Giants,new-york-giants
Chris Brazzell,WR,1,1,1,2.0,2.0,2,2,,,,,1,Tennessee Titans,tennessee-titans
Cole Brevard,DL,1,1,1,6.0,6.0,6,6,,,,,1,New England Patriots,new-england-patriots
DJ Harvey,CB,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Dan Villari,TE,1,1,1,7.0,7.0,7,7,,,,,1,Chicago Bears,chicago-bears
Davison Igbinosun,CB,1,1,1,3.0,3.0,3,3,,,,,1,Atlanta Falcons,atlanta-falcons
DeShon Singleton,S,1,1,1,7.0,7.0,7,7,,,,,1,Miami Dolphins,miami-dolphins
Diego Pavia,QB,1,1,1,7.0,7.0,7,7,,,,,1,Jacksonville Jaguars,jacksonville-jaguars
Donaven Mcculley,WR,1,1,1,6.0,6.0,6,6,,,,,1,Philadelphia Eagles,philadelphia-eagles
Drew Shelton,OT,1,1,1,5.0,5.0,5,5,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Emmett Johnson,RB,1,1,1,4.0,4.0,4,4,,,,,1,Minnesota Vikings,minnesota-vikings
Eric McAlister,WR,1,1,1,4.0,4.0,4,4,,,,,1,Los Angeles Chargers,los-angeles-chargers
Eric O'Neill,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Minnesota Vikings,minnesota-vikings
Ethan Onianwa,OT,1,1,1,7.0,7.0,7,7,,,,,1,Chicago Bears,chicago-bears
Fernando Carmona,IOL,1,1,1,7.0,7.0,7,7,,,,,1,Buffalo Bills,buffalo-bills
Garrison Grimes,LS,1,1,1,6.0,6.0,6,6,,,,,1,Philadelphia Eagles,philadelphia-eagles
Harrison Wallace III,WR,1,1,1,7.0,7.0,7,7,,,,,1,Los Angeles Rams,los-angeles-rams
