player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Avieon Terrell,CB,1,1,1,1.0,1.0,1,1,,,,,1,Miami Dolphins,miami-dolphins
Barion Brown,WR,1,1,1,6.0,6.0,6,6,,,,,1,Detroit Lions,detroit-lions
Brandon Cisse,CB,1,1,1,2.0,2.0,2,2,,,,,1,Minnesota Vikings,minnesota-vikings
Brenen Thompson,WR,1,1,1,4.0,4.0,4,4,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Cade Klubnik,QB,1,1,1,7.0,7.0,7,7,,,,,1,Miami Dolphins,miami-dolphins
Cameron Ball,DL,1,1,1,6.0,6.0,6,6,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Carver Willis,OT,1,1,1,7.0,7.0,7,7,,,,,1,Las Vegas Raiders,las-vegas-raiders
Chip Trayanum,RB,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Chris Johnson,CB,1,1,1,2.0,2.0,2,2,,,,,1,Las Vegas Raiders,las-vegas-raiders
Cole Wisniewski,S,1,1,1,5.0,5.0,5,5,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Colton Hood,CB,1,1,1,1.0,1.0,1,1,,,,,1,Dallas Cowboys,dallas-cowboys
Cyrus Allen,WR,1,1,1,6.0,6.0,6,6,,,,,1,Seattle Seahawks,seattle-seahawks
Dametrious Crownover,OT,1,1,1,3.0,3.0,3,3,,,,,1,Cleveland Browns,cleveland-browns
Darrell Jackson Jr.,DL,1,1,1,4.0,4.0,4,4,,,,,1,Arizona Cardinals,arizona-cardinals
Daylen Everette,CB,1,1,1,3.0,3.0,3,3,,,,,1,Green Bay Packers,green-bay-packers
De'Zhaun Stribling,WR,1,1,1,4.0,4.0,4,4,,,,,1,Green Bay Packers,green-bay-packers
Deion Burks,WR,1,1,1,3.0,3.0,3,3,,,,,1,Miami Dolphins,miami-dolphins
Denzel Boston,WR,1,1,1,2.0,2.0,2,2,,,,,1,Cleveland Browns,cleveland-browns
Deven Eastern,DL,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Devin Moore,CB,1,1,1,3.0,3.0,3,3,,,,,1,Atlanta Falcons,atlanta-falcons
Diego Pounds,OT,1,1,1,3.0,3.0,3,3,,,,,1,Denver Broncos,denver-broncos
Dillon Bell,WR,1,1,1,7.0,7.0,7,7,,,,,1,Washington Commanders,washington-commanders
Dillon Thieneman,S,1,1,1,1.0,1.0,1,1,,,,,1,Philadelphia Eagles,philadelphia-eagles
Domani Jackson,CB,1,1,1,6.0,6.0,6,6,,,,,1,Philadelphia Eagles,philadelphia-eagles
Domonique Orange,DL,1,1,1,2.0,2.0,2,2,,,,,1,Green Bay Packers,green-bay-packers
Drew Stevens,K,1,1,1,7.0,7.0,7,7,,,,,1,Green Bay Packers,green-bay-packers
Eli Raridon,TE,1,1,1,5.0,5.0,5,5,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Eli Stowers,TE,1,1,1,2.0,2.0,2,2,,,,,1,Philadelphia Eagles,philadelphia-eagles
Emmanuel McNeil-Warren,S,1,1,1,1.0,1.0,1,1,,,,,1,Chicago Bears,chicago-bears
Eric Gentry,LB,1,1,1,7.0,7.0,7,7,,,,,1,Arizona Cardinals,arizona-cardinals
Fernando Carmona,IOL,1,1,1,5.0,5.0,5,5,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Fernando Mendoza,QB,1,1,1,1.0,1.0,1,1,,,,,1,Las Vegas Raiders,las-vegas-raiders
Francis Mauigoa,OT,1,1,1,1.0,1.0,1,1,,,,,1,Detroit Lions,detroit-lions
Garrett Nussmeier,QB,1,1,1,5.0,5.0,5,5,,,,,1,Arizona Cardinals,arizona-cardinals
Gennings Dunker,OT,1,1,1,2.0,2.0,2,2,,,,,1,Detroit Lions,detroit-lions
Germie Bernard,WR,1,1,1,2.0,2.0,2,2,,,,,1,Pittsburgh Steelers,pittsburgh-steelers
Gracen Halton,DL,1,1,1,2.0,2.0,2,2,,,,,1,Chicago Bears,chicago-bears
J.Michael Sturdivant,WR,1,1,1,7.0,7.0,7,7,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Jacob Rodriguez,LB,1,1,1,1.0,1.0,1,1,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Jake Golday,LB,1,1,1,1.0,1.0,1,1,,,,,1,Denver Broncos,denver-broncos
Jake Slaughter,IOL,1,1,1,4.0,4.0,4,4,,,,,1,Baltimore Ravens,baltimore-ravens
Jakobe Thomas,S,1,1,1,6.0,6.0,6,6,,,,,1,New England Patriots,new-england-patriots
Jalen Huskey,CB,1,1,1,7.0,7.0,7,7,,,,,1,Minnesota Vikings,minnesota-vikings
Jamarion Miller,RB,1,1,1,5.0,5.0,5,5,,,,,1,Dallas Cowboys,dallas-cowboys
Jeff Caldwell,WR,1,1,1,5.0,5.0,5,5,,,,,1,Dallas Cowboys,dallas-cowboys
Jeremiah Wright,IOL,1,1,1,5.0,5.0,5,5,,,,,1,Philadelphia Eagles,philadelphia-eagles
John Michael Gyllenborg,TE,1,1,1,4.0,4.0,4,4,,,,,1,Denver Broncos,denver-broncos
Jonah Coleman,RB,1,1,1,2.0,2.0,2,2,,,,,1,Denver Broncos,denver-broncos
Joshua Josephs,EDGE,1,1,1,3.0,3.0,3,3,,,,,1,Miami Dolphins,miami-dolphins
Jude Bowry,OT,1,1,1,4.0,4.0,4,4,,,,,1,New England Patriots,new-england-patriots
Justin Jefferson,LB,1,1,1,6.0,6.0,6,6,,,,,1,New England Patriots,new-england-patriots
Justin Joly,TE,1,1,1,4.0,4.0,4,4,,,,,1,Miami Dolphins,miami-dolphins
Kage Casey,OT,1,1,1,4.0,4.0,4,4,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Keith Abney II,CB,1,1,1,2.0,2.0,2,2,,,,,1,Green Bay Packers,green-bay-packers
Kendrick Law,WR,1,1,1,7.0,7.0,7,7,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Kenyon Sadiq,TE,1,1,1,1.0,1.0,1,1,,,,,1,Cleveland Browns,cleveland-browns
Kevin Coleman Jr.,WR,1,1,1,4.0,4.0,4,4,,,,,1,New England Patriots,new-england-patriots
Keyshaun Elliott,LB,1,1,1,6.0,6.0,6,6,,,,,1,Pittsburgh Steelers,pittsburgh-steelers
L.T. Overton,EDGE,1,1,1,3.0,3.0,3,3,,,,,1,Philadelphia Eagles,philadelphia-eagles
Le'Veon Moss,RB,1,1,1,5.0,5.0,5,5,,,,,1,Dallas Cowboys,dallas-cowboys
Lee Hunter,DL,1,1,1,3.0,3.0,3,3,,,,,1,Arizona Cardinals,arizona-cardinals
Logan Fano,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,New England Patriots,new-england-patriots
Logan Taylor,IOL,1,1,1,7.0,7.0,7,7,,,,,1,New England Patriots,new-england-patriots
Lorenzo Styles Jr.,CB,1,1,1,6.0,6.0,6,6,,,,,1,Detroit Lions,detroit-lions
Makai Lemon,WR,1,1,1,1.0,1.0,1,1,,,,,1,New York Jets,new-york-jets
Mansoor Delane,CB,1,1,1,1.0,1.0,1,1,,,,,1,Miami Dolphins,miami-dolphins
Max Llewellyn,EDGE,1,1,1,4.0,4.0,4,4,,,,,1,Pittsburgh Steelers,pittsburgh-steelers
Michael Heldman,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Chicago Bears,chicago-bears
Mike Washington Jr.,RB,1,1,1,2.0,2.0,2,2,,,,,1,Seattle Seahawks,seattle-seahawks
Monroe Freeling,OT,1,1,1,1.0,1.0,1,1,,,,,1,Detroit Lions,detroit-lions
Nate Boerkircher,TE,1,1,1,5.0,5.0,5,5,,,,,1,Detroit Lions,detroit-lions
Nyjalik Kelly,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Dallas Cowboys,dallas-cowboys
Owen Heinecke,LB,1,1,1,6.0,6.0,6,6,,,,,1,Washington Commanders,washington-commanders
Roman Hemby,RB,1,1,1,6.0,6.0,6,6,,,,,1,Arizona Cardinals,arizona-cardinals
Sam Hecht,IOL,1,1,1,3.0,3.0,3,3,,,,,1,Chicago Bears,chicago-bears
Skyler Gill-Howard,DL,1,1,1,4.0,4.0,4,4,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Sonny Styles,LB,1,1,1,1.0,1.0,1,1,,,,,1,New York Giants,new-york-giants
Tanner Koziol,TE,1,1,1,6.0,6.0,6,6,,,,,1,New England Patriots,new-england-patriots
Tim Keenan III,DL,1,1,1,5.0,5.0,5,5,,,,,1,New York Giants,new-york-giants
Trey Smack,K,1,1,1,7.0,7.0,7,7,,,,,1,Las Vegas Raiders,las-vegas-raiders
Tyreak Sapp,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Arizona Cardinals,arizona-cardinals
Tyren Montgomery,WR,1,1,1,6.0,6.0,6,6,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
VJ Payne,S,1,1,1,5.0,5.0,5,5,,,,,1,New England Patriots,new-england-patriots
Vincent Anthony Jr.,EDGE,1,1,1,7.0,7.0,7,7,,,,,1,Tampa Bay Buccaneers,tampa-bay-buccaneers
Will Kacmarek,TE,1,1,1,7.0,7.0,7,7,,,,,1,Cleveland Browns,cleveland-browns
Will Lee III,CB,1,1,1,3.0,3.0,3,3,,,,,1,Kansas City Chiefs,kansas-city-chiefs
Wydett Williams Jr.,S,1,1,1,6.0,6.0,6,6,,,,,1,Cleveland Browns,cleveland-browns
Zachariah Branch,WR,1,1,1,3.0,3.0,3,3,,,,,1,Washington Commanders,washington-commanders
Zakee Wheatley,S,1,1,1,4.0,4.0,4,4,,,,,1,Las Vegas Raiders,las-vegas-raiders
Zavion Thomas,WR,1,1,1,7.0,7.0,7,7,,,,,1,Chicago Bears,chicago-bears
Zxavian Harris,DL,1,1,1,4.0,4.0,4,4,,,,,1,New England Patriots,new-england-patriots
