ingested_at,method,status,section,mock_relative_url,detail
2026-04-01T09:51:41.296310,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/patriots-patriots-com-2026-evan-lazar?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-01T09:53:23.487486,pasted_html,ingested,team-mock-drafts,/team-mock-drafts/2026/patriots-patriots-com-2026-mike-dussault?date=2026-03-30,Parsed from pasted page source HTML.
2026-04-06T07:27:05.955233,manual_url,invalid,,e=2026-04-01,Unsupported mock URL path: /e=2026-04-01
2026-04-06T07:48:33.138752,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/the-athletic-2026-bruce-feldman?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_the-athletic-2026-bruce-feldman_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:06.268914,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/cbs-2026-josh-edwards?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_cbs-2026-josh-edwards_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:11.958415,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/bears-wire-2026-vincent-parise?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_bears-wire-2026-vincent-parise_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:16.553741,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/dazn-2026-jason-abbey?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_dazn-2026-jason-abbey_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:21.396587,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/bleacher-nation-2026-patrick-flowers?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_bleacher-nation-2026-patrick-flowers_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:27.156909,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/sports-talk-2026-sam-teets?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_sports-talk-2026-sam-teets_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:33.888833,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/athlon-sports-2026-luke-easterling?date=2026-04-02,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_athlon-sports-2026-luke-easterling_date=2026-04-02.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:41.019620,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/nfl-mocks-2026-ian-harper?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_nfl-mocks-2026-ian-harper_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:48.227951,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/lineups-2026-richard-janvrin?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_lineups-2026-richard-janvrin_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:39:56.301233,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/cbs-2026-tom-fornelli?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_cbs-2026-tom-fornelli_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:40:01.853550,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/prize-picks-2026-jordan-foote?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_prize-picks-2026-jordan-foote_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
2026-04-06T09:40:07.872548,uploaded_html,ingested,mock-drafts,/mock-drafts/2026/fantasy-pros-2026-matthew-jones?date=2026-04-01,Parsed from uploaded HTML file: view-source_https___www.nflmockdraftdatabase.com_mock-drafts_2026_fantasy-pros-2026-matthew-jones_date=2026-04-01.html. URL auto-detected from HTML. Saved view-source HTML was unwrapped.
