author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
John Dillon,Chiefs Wire,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.2857142857142857,0.0,0.7142857142857143,1.0,0.2857142857142857,0.0,0.14285714285714285,7.0,0.3333333333333333,
Bret Stuter,Ramblin Fan,1,33.33333333333333,5.0,0.3333333333333333,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.6,5.0,0.3333333333333333,
Jason Pruett,DRAFTPLEX,1,33.33333333333333,6.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0,0.3333333333333333,
Alex Kozora,Steelers Depot,1,33.33333333333333,7.0,0.3333333333333333,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.0,0.3333333333333333,
Brian Costello,NY Post,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.0,0.3333333333333333,
Connor Deitrich,Last Word on Sports,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5714285714285714,1.0,0.14285714285714285,0.2857142857142857,0.0,7.0,0.3333333333333333,
Kevin Hickey,Sporting News,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.2857142857142857,7.0,0.3333333333333333,
Chad Graff,The Athletic,1,33.33333333333333,8.0,0.3333333333333333,0.125,0.0,0.125,0.0,0.375,1.0,0.125,0.25,0.125,8.0,0.3333333333333333,
Ryan Heckman,Black And Teal,1,33.33333333333333,8.0,0.3333333333333333,0.125,0.0,0.125,0.0,0.375,0.75,0.125,0.25,0.125,8.0,0.3333333333333333,
Jordy McElroy,Patriots Wire,1,33.33333333333333,9.0,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.4444444444444444,9.0,0.3333333333333333,
Noah Strackbein,SI,1,33.33333333333333,6.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,
Ryan Pawloski,Still Curtain,1,33.33333333333333,7.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.2857142857142857,0.42857142857142855,7.0,0.3333333333333333,
