author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Connor Hughes,SNY,1,73.33333333333333,22.0,0.7333333333333333,1.0,0.5,0.6,0.6,1.0,1.0,1.9
Colin Cowherd,Fox Sports,1,72.22222222222221,26.0,0.7222222222222222,1.0,0.5,0.5833333333333334,0.5833333333333334,1.0,1.0,2.5
James Brizuela,Newsweek,1,66.66666666666666,20.0,0.6666666666666666,1.0,0.5,0.5,0.6,1.0,1.0,1.9
Staff,Bengals.com,1,66.66666666666666,36.0,0.6666666666666666,1.0,0.4444444444444444,0.5,0.5,1.0,1.0,3.4444444444444446
Parker Hurley,Bear Goggles On,1,58.333333333333336,14.0,0.5833333333333334,1.0,0.375,0.375,0.625,1.0,1.0,2.75
Cecil Lammey,Denver Sports,1,57.291666666666664,55.0,0.5729166666666666,0.84375,0.25,0.4375,0.46875,0.84375,1.0,5.71875
Charlie Campbell,Walter Football,1,57.291666666666664,55.0,0.5729166666666666,0.84375,0.34375,0.4375,0.46875,0.84375,1.0,5.5
Staff,Fox Sports,1,57.291666666666664,55.0,0.5729166666666666,0.84375,0.3125,0.4375,0.46875,0.84375,1.0,5.3125
Andy Staples,On3,1,56.25,54.0,0.5625,0.8125,0.28125,0.4375,0.3125,0.8125,1.0,6.46875
Peter Schrager,NFL.com,1,55.208333333333336,53.0,0.5520833333333334,0.90625,0.3125,0.375,0.4375,0.90625,1.0,4.28125
Andrew Erickson,Fantasy Pros,1,54.166666666666664,52.0,0.5416666666666666,0.875,0.25,0.375,0.4375,0.875,1.0,5.21875
Nate Davis,USA Today,1,54.166666666666664,52.0,0.5416666666666666,0.875,0.3125,0.375,0.4375,0.875,1.0,5.46875
Sayre Bedinger,NFL Spin Zone,1,54.166666666666664,52.0,0.5416666666666666,0.875,0.34375,0.375,0.46875,0.875,1.0,5.5625
Staff,Fantasy First Down,1,54.166666666666664,52.0,0.5416666666666666,0.875,0.25,0.375,0.3125,0.875,1.0,5.53125
Kyle Stackpole,CBS,1,53.125,51.0,0.53125,0.84375,0.25,0.375,0.4375,0.84375,1.0,5.78125
Nate Bouda,NFL Trade Rumors,1,53.125,51.0,0.53125,0.90625,0.25,0.34375,0.4375,0.90625,1.0,5.4375
Ari Meirov,33rd Team,1,52.083333333333336,50.0,0.5208333333333334,0.8125,0.28125,0.375,0.375,0.8125,1.0,6.90625
Chris Simms,NBC Sports,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.21875,0.34375,0.25,0.875,1.0,6.4375
Josh Larky,Player Profiler,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.3125,0.34375,0.46875,0.875,1.0,4.9375
RJ White,CBS,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.21875,0.34375,0.28125,0.875,1.0,4.5
Roy Countryman,Prospectencyclopedia,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.1875,0.34375,0.3125,0.875,1.0,6.1875
Staff,DraftBlaster,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.28125,0.34375,0.4375,0.875,1.0,5.5
Zack Pearson,247 Sports,1,52.083333333333336,50.0,0.5208333333333334,0.875,0.28125,0.34375,0.34375,0.875,1.0,5.125
HC Green,The Huddle,1,51.041666666666664,49.0,0.5104166666666666,0.84375,0.28125,0.34375,0.4375,0.84375,1.0,5.75
Tom Fornelli,CBS,1,51.041666666666664,49.0,0.5104166666666666,0.84375,0.25,0.34375,0.375,0.84375,1.0,6.15625
Jared Wasserman,UD Review,1,50.0,48.0,0.5,0.8125,0.21875,0.34375,0.40625,0.8125,1.0,6.90625
Richie Bradshaw,SI,1,50.0,48.0,0.5,0.8125,0.21875,0.34375,0.34375,0.8125,1.0,8.40625
Andrew Callahan,Boston Herald,1,50.0,48.0,0.5,0.875,0.21875,0.3125,0.28125,0.875,1.0,6.03125
Jared Smola,Draft Sharks,1,50.0,48.0,0.5,0.875,0.21875,0.3125,0.34375,0.875,1.0,5.34375
Jonathan Jones,CBS,1,50.0,48.0,0.5,0.875,0.25,0.3125,0.3125,0.875,1.0,4.65625
Matthew Freedman,Fantasy Life,1,50.0,48.0,0.5,0.875,0.21875,0.3125,0.375,0.875,1.0,4.4375
Russell Brown,Lions Wire,1,50.0,48.0,0.5,0.875,0.25,0.3125,0.34375,0.875,1.0,5.46875
Staff,Daily Mail,1,50.0,48.0,0.5,0.875,0.28125,0.3125,0.375,0.875,1.0,5.53125
Theo Gremminger,Player Profiler,1,50.0,48.0,0.5,0.875,0.25,0.3125,0.28125,0.875,1.0,4.96875
Tom Downey,Chat Sports,1,50.0,48.0,0.5,0.875,0.21875,0.3125,0.40625,0.875,1.0,5.0625
Braden Holecek,Full Press Coverage,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.21875,0.3125,0.375,0.84375,1.0,6.46875
Chet Gresham,Draft Kings,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.28125,0.3125,0.40625,0.84375,1.0,5.0
Cletis Cutts,The Huddle,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.25,0.3125,0.40625,0.84375,1.0,6.15625
Glynn Morgan,NBC Sports Chicago,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.21875,0.3125,0.34375,0.84375,1.0,5.8125
Jess Root,Cards Wire,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.25,0.3125,0.375,0.84375,1.0,6.46875
Joel Klatt,Fox Sports,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.28125,0.3125,0.375,0.84375,1.0,5.3125
Matt Youmans,VSIN,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.1875,0.3125,0.4375,0.84375,1.0,6.21875
Mike Kadlick,CLNS,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.25,0.3125,0.34375,0.84375,1.0,5.53125
Scott Bogman,Fantasy Pros,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.21875,0.3125,0.40625,0.84375,1.0,6.4375
Staff,Tankathon,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.21875,0.3125,0.34375,0.84375,1.0,5.84375
Albert Breer,SI,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.15625,0.28125,0.34375,0.90625,1.0,4.0625
Lance Zierlein,NFL.com,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.25,0.28125,0.3125,0.90625,1.0,5.53125
Marcus Mosher,33rd Team,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.28125,0.28125,0.28125,0.90625,1.0,5.5
Keith Lott,Fantasy Six Pack,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.1875,0.3125,0.25,0.8125,1.0,8.9375
Ryan McFadden,Denver Post,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.28125,0.3125,0.34375,0.8125,1.0,5.125
Staff,Drafttek,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.21875,0.3125,0.3125,0.6875,1.0,7.78125
Adam Stites,Dolphins Wire,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.25,0.28125,0.3125,0.875,1.0,5.96875
Dan Parr,NFL.com,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.28125,0.28125,0.34375,0.875,1.0,5.21875
Jeff Ratcliffe,FTN Fantasy,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.21875,0.28125,0.375,0.875,1.0,4.9375
Johnny McGonigal,Penn Live,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.25,0.28125,0.28125,0.875,1.0,5.90625
Logan Ulrich,NFL Trade Rumors,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.21875,0.28125,0.34375,0.875,1.0,5.84375
Matt Rooney,Bleacher Nation,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.25,0.28125,0.40625,0.875,1.0,5.34375
Matty Kiwoom,Player Profiler,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.1875,0.28125,0.25,0.875,1.0,6.65625
Seth Trachtman,Yardbarker,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.1875,0.28125,0.34375,0.875,1.0,5.03125
Staff,My NFL Draft,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.21875,0.28125,0.34375,0.875,1.0,4.75
Vinnie Iyer,Sporting News,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.25,0.28125,0.40625,0.875,1.0,5.53125
Walter Cherepinsky,Walter Football,1,47.91666666666667,46.0,0.4791666666666667,0.875,0.21875,0.28125,0.4375,0.875,1.0,5.375
Ben Natan,Bleeding Green Nation,1,46.875,45.0,0.46875,0.84375,0.3125,0.28125,0.28125,0.84375,1.0,5.9375
Brian Wacker,Baltimore Sun,1,46.875,45.0,0.46875,0.84375,0.21875,0.28125,0.4375,0.84375,1.0,4.875
Bucky Brooks,NFL.com,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.40625,0.84375,1.0,5.59375
Cody Benjamin,CBS,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.28125,0.84375,1.0,6.625
Jake Rosen,Field 2 Court,1,46.875,45.0,0.46875,0.84375,0.21875,0.28125,0.4375,0.84375,1.0,6.125
Jason Bantle,Draft Utopia,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.1875,0.84375,1.0,6.46875
John Breech,CBS,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.25,0.84375,1.0,6.1875
John Daigle,Establish The Run,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.375,0.84375,1.0,6.125
Nick Barrett,Football Nick,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.34375,0.84375,1.0,5.78125
Nick Guarisco,Action Network,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.34375,0.84375,1.0,6.6875
Saivion Mixson,Sporting News,1,46.875,45.0,0.46875,0.84375,0.21875,0.28125,0.34375,0.84375,1.0,5.75
Scott Smith,4 For 4,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.40625,0.84375,1.0,5.75
Staff,Uproxx,1,46.875,45.0,0.46875,0.84375,0.21875,0.28125,0.375,0.84375,1.0,6.40625
Tim Murray,VSIN,1,46.875,45.0,0.46875,0.84375,0.28125,0.28125,0.375,0.84375,1.0,4.53125
Jason Pruett,DRAFTPLEX,1,46.875,45.0,0.46875,0.90625,0.125,0.25,0.28125,0.90625,1.0,6.03125
Matt Verderame,SI,1,46.875,45.0,0.46875,0.90625,0.15625,0.25,0.28125,0.90625,1.0,5.84375
Bill Zimmerman,Windy City Gridiron,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.21875,0.28125,0.3125,0.8125,1.0,5.6875
Brad Biggs,Chicago Tribune,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.1875,0.28125,0.34375,0.8125,1.0,6.96875
Cam Garrity,Patriots Wire,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.1875,0.28125,0.34375,0.8125,1.0,8.71875
Dan Schneier,CBS,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.25,0.28125,0.40625,0.8125,1.0,6.78125
Kevin Hickey,The Huddle,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.25,0.28125,0.40625,0.8125,1.0,7.5625
