section,year,cache_id,mock_relative_url,mock_absolute_url,mock_name,author_name,published_at,description,intro,external_url,rankings_url,completed_url,completion_percentage,completion_place,most_accurate,temporary_mock,scheduled_to_be_deleted,time_left_before_deletion,top_authors_count,twitter,user_mock,user_premium,selection_count,previous_mock_date_count,list_rank
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/walter-football-2024-charlie-campbell?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/walter-football-2024-charlie-campbell?date=2024-04-25,Walter Football,Charlie Campbell,04/25/24,2024 NFL Mock Draft ,,https://walterfootball.com/draft2024charlie.php?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,38.7%,1st,True,False,False,12/14/2022 10:44pm CST,5,DraftCampbell,False,False,32,1,1
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/tankathon-2024?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/tankathon-2024?date=2024-04-25,Tankathon,Staff,04/25/24,2024 NFL Mock Draft | Tankathon : 2024 NFL Mock Draft. Order updated after every game. Team needs are factored into the player selections.,,http://www.tankathon.com/nfl/mock_draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,27.4%,106th,False,False,False,05/07/2023 10:16pm CDT,1,tankathon,False,False,32,1,2
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/field-2-court-2024-jake-rosen?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/field-2-court-2024-jake-rosen?date=2024-04-25,Field 2 Court,Jake Rosen,04/25/24,"2024 NFL Mock Draft : 1st Round: Chicago Bears - Caleb Williams, QB, USC No brainer pick here for the Bears. If going QB 1st overall wasn’t a forgone conclusion when they secured the 1st overall pick, it is now after they gave away Justin Fields to the Steelers. The Bears have a great situation to step into with an…","No brainer pick here for the Bears. If going QB 1st overall wasn’t a forgone conclusion when they secured the 1st overall pick, it is now after they gave away Justin Fields to the Steelers. The Bears have a great situation to step into with an already great receiving pair in D.J. Moore and Keenan Allen, with a good TE pairing in Cole Kmet and Gerald Everett, a solid OL, and a promising run game. The Bears have never had a true “Franchise QB” but that should finally change with a passer and playmaker as talented as Williams coming to town.",https://field2courtcom.wordpress.com/2024/04/25/2024-nfl-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,27.88%,80th,False,False,False,05/02/2024 07:44pm CDT,0,j_rosen12,False,False,32,1,3
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/action-network-2024-nick-guarisco?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/action-network-2024-nick-guarisco?date=2024-04-25,Action Network,Nick Guarisco,04/25/24,2024 NFL Mock Draft: Teams Trade Up for J.J. McCarthy & Michael Penix Jr. : Get the latest NFL mock draft from Nick Guarisco for the first round.,"Collaborating with Action Network for the 2024 NFL Draft is Nick Guarisco (@fantasylawguy on X), who ranked in the top six in mock draft accuracy from 2019-21 at NFL Mock Draft Database, a site that grades the accuracy of mock drafts across the industry and includes analysts like ESPN’s Mel Kiper Jr. Guarisco's final mock for last year's NFL Draft hit on eight team-player matches and identified 28 of 32 first-rounders, though it failed to match the success of previous years. NFL Mock Draft Database graded his 2023 NFL mock draft as the 92nd-most accurate among 1,384 expert mock drafts. This result broke a streak of four consecutive years of his final mock draft finishing inside the top 20. You can find his mock draft history on FantasyLawGuy.com. With the draft just around the corner, check out his latest 2024 NFL mock draft predictions below.",https://www.actionnetwork.com/nfl/2024-nfl-mock-draft-jj-mccarthy-falling?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,24.28%,253rd,False,False,False,05/02/2024 10:56pm CDT,3,FantasyLawGuy,False,False,32,4,4
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/ftn-fantasy-2024-jeff-ratcliffe?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/ftn-fantasy-2024-jeff-ratcliffe?date=2024-04-25,FTN Fantasy,Jeff Ratcliffe,04/25/24,Jeff Ratcliffe's 2024 NFL Mock Draft 5.0 -- Final : FTN's Jeff Ratcliffe offers up his final first-round mock draft heading into Thursday's 2024 NFL Draft.,"Today’s the day. The 2024 NFL Draft is here, but there’s enough time to channel our inner Kevin Costner and get one more mock draft in. This is my final mock of this year’s predraft process. Unlike previous mocks where I messed around with ideas and scenarios, the goal for this mock is to be as close to the real thing as possible. Will I get there? Of course not, but based on all the intel, betting odds, beat writer reports and rumor mills, here’s how I see the first-round unfolding.",https://ftnfantasy.com/nfl/jeff-ratcliffes-2024-nfl-mock-draft-5-0-final?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,26.92%,132nd,False,False,False,06/19/2024 10:00pm CDT,0,JeffRatcliffe,False,False,32,5,5
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/cbs-2024-josh-edwards?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-josh-edwards?date=2024-04-25,CBS,Josh Edwards,04/25/24,"Seven-round 2024 NFL Mock Draft: Patriots lean heavily on offense, Cardinals take opposite approach : The draft is now less than one week away","For several months, NFL media has been focused on first-round mock draft projections but those are just 32 of the 257 names that will be called over a three-day period in Detroit starting April 25. It is time to learn the names of Day 2 and late-round draft prospects as they could one day make an impact in the NFL playoffs, just as Brock Purdy, L'Jarius Sneed and others have before them.  Without further ado, let's kick this off!",https://www.cbssports.com/nfl/draft/news/seven-round-2024-nfl-mock-draft-patriots-lean-heavily-on-offense-cardinals-take-opposite-approach/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,18.75%,645th,False,False,False,05/02/2024 10:56pm CDT,0,EdwardsCBS,False,False,32,37,6
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/cbs-2024-ryan-wilson?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/cbs-2024-ryan-wilson?date=2024-04-25,CBS,Ryan Wilson,04/25/24,2024 NFL Mock Draft: Seahawks make surprising move for QB; Panthers trade back into Round 1 for Brock Bowers : It's draft day and here's what i think teams should do,"We're here, finally. It's officially Draft Day and what better way to celebrate three of the most exciting days of the NFL offseason than with one last mock draft. This is what I think will happen, though after countless revisions and what felt like just as many trades, you could argue pretty easily that I'm probably overthinking this. For the record, I had seven trades in this final mock draft (SEVEN!):",https://www.cbssports.com/nfl/draft/news/2024-nfl-mock-draft-seahawks-make-surprising-move-for-qb-panthers-trade-back-into-round-1-for-brock-bowers/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,19.71%,517th,False,False,False,05/02/2024 07:43pm CDT,0,ryanwilsonCBS,False,False,32,11,7
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/ud-review-2024-jared-wasserman?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/ud-review-2024-jared-wasserman?date=2024-04-25,UD Review,Jared Wasserman,04/25/24,2024 NFL Mock Draft ,"After weeks of preparation and some midnight tinkering, I present to you my final mock draft completed on draft night eve. The selections in this draft are based on whom I would choose as the representation of all 32 teams, not what I predict will actually happen. This draft was conducted solely on information that was available to me, such as game film and testing results. I did not execute any trades in order to keep this mock draft as accurate as possible. I prioritize selecting the best player available, except in scenarios in which there are very pressing needs, severe positional clutter, or a lack of a scheme fit. You will immediately see that the strength of this class is in the quarterbacks, wide receivers and (especially) tackles, in which there is a stunning amount of depth. You will also notice the premium placed on the receiver position early, which has recently become the second most impactful position in the NFL. Lastly, I believe the future headline of this draft will be the athleticism of the prospects. Every position offers incredibly explosive options. Without further adieu, enjoy!",https://udreview.com/2024-nfl-mock-draft-providing-an-in-depth-analysis-and-scouting-report-at-each-selection/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,27.88%,79th,False,False,False,05/02/2024 07:46pm CDT,0,JaredWasserman4,False,False,32,1,8
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/bucs-nation-2024-mike-kiwak?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/bucs-nation-2024-mike-kiwak?date=2024-04-25,Bucs Nation,Mike Kiwak,04/25/24,Mike Kiwak’s Final 2024 First-Round NFL Mock Draft : Here’s my take on what will happen Thursday. I’m prepared for your hatred.,"You didn’t come here for intros, you came here for a mock draft that you’ll either love or hate. Let’s get right into it as the real 2024 NFL Draft looms! ",https://www.bucsnation.com/2024/4/25/24138840/mike-kiwak-final-2024-first-round-nfl-mock-draft-buccaneers-bucs-nation?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,20.19%,493rd,False,False,False,05/02/2024 07:42pm CDT,0,mike_kiwak,False,False,32,2,9
mock-drafts,2024,mocks/Show-0,/mock-drafts/2024/ny-post-2024-erich-richter?date=2024-04-25,https://www.nflmockdraftdatabase.com/mock-drafts/2024/ny-post-2024-erich-richter?date=2024-04-25,NY Post,Erich Richter,04/25/24,"2024 NFL Mock Draft: Full first-round picks, predictions for bettors : Check out this complete 2024 NFL mock draft featuring the odds for each player at selection.","The NFL Draft isn’t just a game-changing time for teams. It’s also become a bettors paradise where you can bet on every pick throughout all seven rounds. This guide featured 32 bets ahead of Thursday’s first round of the 2024 NFL Draft, which begins at 8 p.m. ET, when the Bears are on the clock and will likely take Caleb Williams. The previous two years of the sports bettors Mock Draft have each ended in multiple units of profit and we look to bring in a third straight strong year. ",https://nypost.com/2024/04/25/sports/2024-nfl-mock-draft-full-first-round-picks-predictions-for-bettors/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2024/consensus-big-board-2024,https://www.nflmockdraftdatabase.com/mock-drafts/2024/final-scores,26.44%,145th,False,False,False,05/02/2024 07:45pm CDT,0,erichterrr,False,False,32,1,10
