team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Marvin Harrison Jr.,WR,221,221,200,1.009049773755656,1.0,1,2,4.3076923076923075,4.0,4,36,579,0.38169257340241797
arizona-cardinals,Arizona Cardinals,Demeioun Robinson,EDGE,40,40,34,1.0,1.0,1,1,26.7,27.0,21,27,579,0.0690846286701209
arizona-cardinals,Arizona Cardinals,Kool-Aid McKinstry,CB,37,37,33,1.0,1.0,1,1,26.89189189189189,27.0,23,27,579,0.06390328151986183
arizona-cardinals,Arizona Cardinals,Darius Robinson,EDGE,35,35,33,1.0,1.0,1,1,26.885714285714286,27.0,23,27,579,0.06044905008635579
arizona-cardinals,Arizona Cardinals,Nate Wiggins,CB,34,34,31,1.0294117647058822,1.0,1,2,27.235294117647058,27.0,23,43,579,0.05872193436960276
arizona-cardinals,Arizona Cardinals,Jer'Zhan Newton,DL,27,27,26,1.0,1.0,1,1,26.77777777777778,27.0,21,27,579,0.046632124352331605
arizona-cardinals,Arizona Cardinals,Rome Odunze,WR,25,25,25,1.0,1.0,1,1,7.32,8.0,4,11,579,0.04317789291882556
arizona-cardinals,Arizona Cardinals,Malik Nabers,WR,17,17,17,1.0,1.0,1,1,5.0588235294117645,4.0,4,8,579,0.02936096718480138
arizona-cardinals,Arizona Cardinals,Laiatu Latu,EDGE,17,17,17,1.0,1.0,1,1,22.764705882352942,27.0,11,27,579,0.02936096718480138
arizona-cardinals,Arizona Cardinals,Jared Verse,EDGE,15,15,15,1.0666666666666667,1.0,1,2,23.0,23.0,6,59,579,0.025906735751295335
arizona-cardinals,Arizona Cardinals,Cooper DeJean,CB,11,11,11,1.0,1.0,1,1,25.545454545454547,27.0,23,27,579,0.018998272884283247
arizona-cardinals,Arizona Cardinals,Jackson Powers-Johnson,IOL,10,10,10,1.0,1.0,1,1,26.4,27.0,23,27,579,0.017271157167530225
arizona-cardinals,Arizona Cardinals,Brian Thomas Jr.,WR,8,8,8,1.0,1.0,1,1,22.625,23.0,12,27,579,0.013816925734024179
arizona-cardinals,Arizona Cardinals,Jordan Morgan,OT,8,8,8,1.0,1.0,1,1,26.0,27.0,23,27,579,0.013816925734024179
arizona-cardinals,Arizona Cardinals,Quinyon Mitchell,CB,7,7,7,1.0,1.0,1,1,11.714285714285714,11.0,9,16,579,0.012089810017271158
arizona-cardinals,Arizona Cardinals,Terrion Arnold,CB,7,7,7,1.0,1.0,1,1,23.0,23.0,11,27,579,0.012089810017271158
arizona-cardinals,Arizona Cardinals,Dallas Turner,EDGE,6,6,6,1.0,1.0,1,1,13.166666666666666,12.0,11,21,579,0.010362694300518135
arizona-cardinals,Arizona Cardinals,Adonai Mitchell,WR,5,5,5,1.0,1.0,1,1,27.0,27.0,27,27,579,0.008635578583765112
arizona-cardinals,Arizona Cardinals,Graham Barton,IOL,5,5,5,1.0,1.0,1,1,27.0,27.0,27,27,579,0.008635578583765112
arizona-cardinals,Arizona Cardinals,J.C. Latham,OT,5,5,5,1.0,1.0,1,1,26.2,27.0,23,27,579,0.008635578583765112
arizona-cardinals,Arizona Cardinals,Tyler Guyton,OT,5,5,5,1.0,1.0,1,1,27.0,27.0,27,27,579,0.008635578583765112
arizona-cardinals,Arizona Cardinals,Xavier Worthy,WR,5,5,5,1.0,1.0,1,1,22.6,27.0,11,27,579,0.008635578583765112
arizona-cardinals,Arizona Cardinals,Amarius Mims,OT,3,3,3,1.0,1.0,1,1,26.0,27.0,23,28,579,0.0051813471502590676
arizona-cardinals,Arizona Cardinals,Byron Murphy,DL,3,3,3,1.0,1.0,1,1,23.0,27.0,15,27,579,0.0051813471502590676
arizona-cardinals,Arizona Cardinals,Zach Frazier,IOL,3,3,3,1.0,1.0,1,1,27.333333333333332,27.0,27,28,579,0.0051813471502590676
arizona-cardinals,Arizona Cardinals,Joe Alt,OT,2,2,2,1.0,1.0,1,1,4.0,4.0,4,4,579,0.0034542314335060447
arizona-cardinals,Arizona Cardinals,Ladd McConkey,WR,2,2,2,1.0,1.0,1,1,25.0,25.0,23,27,579,0.0034542314335060447
arizona-cardinals,Arizona Cardinals,Troy Franklin,WR,2,2,2,1.0,1.0,1,1,25.0,25.0,23,27,579,0.0034542314335060447
arizona-cardinals,Arizona Cardinals,Mike Sainristil,CB,2,2,2,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0034542314335060447
arizona-cardinals,Arizona Cardinals,Troy Fautanu,OT,2,2,2,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0034542314335060447
arizona-cardinals,Arizona Cardinals,Caleb Williams,QB,1,1,1,1.0,1.0,1,1,1.0,1.0,1,1,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Drake Maye,QB,1,1,1,1.0,1.0,1,1,4.0,4.0,4,4,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Brock Bowers,TE,1,1,1,1.0,1.0,1,1,11.0,11.0,11,11,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Olumuyiwa Fashanu,OT,1,1,1,1.0,1.0,1,1,11.0,11.0,11,11,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Edgerrin Cooper,LB,1,1,1,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Ennis Rakestraw Jr.,CB,1,1,1,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Keon Coleman,WR,1,1,1,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Kingsley Suamataia,OT,1,1,1,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,T.J. Tampa,CB,1,1,1,1.0,1.0,1,1,27.0,27.0,27,27,579,0.0017271157167530224
arizona-cardinals,Arizona Cardinals,Michael Penix Jr.,QB,1,1,1,1.0,1.0,1,1,32.0,32.0,32,32,579,0.0017271157167530224
atlanta-falcons,Atlanta Falcons,Dallas Turner,EDGE,158,158,145,1.0,1.0,1,1,8.727848101265822,8.0,8,16,292,0.541095890410959
atlanta-falcons,Atlanta Falcons,Laiatu Latu,EDGE,41,41,37,1.0,1.0,1,1,10.512195121951219,8.0,8,28,292,0.1404109589041096
atlanta-falcons,Atlanta Falcons,Byron Murphy,DL,30,30,29,1.0,1.0,1,1,8.9,8.0,8,15,292,0.10273972602739725
atlanta-falcons,Atlanta Falcons,Quinyon Mitchell,CB,17,17,15,1.0,1.0,1,1,10.058823529411764,8.0,8,17,292,0.05821917808219178
atlanta-falcons,Atlanta Falcons,Jared Verse,EDGE,11,11,11,1.0,1.0,1,1,10.818181818181818,11.0,8,15,292,0.03767123287671233
atlanta-falcons,Atlanta Falcons,Terrion Arnold,CB,9,9,9,1.0,1.0,1,1,12.0,10.0,8,23,292,0.030821917808219176
atlanta-falcons,Atlanta Falcons,Malik Nabers,WR,7,7,7,1.1428571428571428,1.0,1,2,12.571428571428571,8.0,8,40,292,0.023972602739726026
atlanta-falcons,Atlanta Falcons,Rome Odunze,WR,4,4,4,1.25,1.0,1,2,16.0,8.0,8,40,292,0.0136986301369863
atlanta-falcons,Atlanta Falcons,Cooper DeJean,CB,3,3,3,1.0,1.0,1,1,19.666666666666668,23.0,8,28,292,0.010273972602739725
atlanta-falcons,Atlanta Falcons,Brian Thomas Jr.,WR,2,2,2,1.0,1.0,1,1,8.0,8.0,8,8,292,0.00684931506849315
atlanta-falcons,Atlanta Falcons,Joe Alt,OT,2,2,2,1.0,1.0,1,1,8.0,8.0,8,8,292,0.00684931506849315
atlanta-falcons,Atlanta Falcons,Olumuyiwa Fashanu,OT,2,2,2,1.0,1.0,1,1,8.0,8.0,8,8,292,0.00684931506849315
atlanta-falcons,Atlanta Falcons,Nate Wiggins,CB,2,2,2,1.0,1.0,1,1,23.0,23.0,23,23,292,0.00684931506849315
atlanta-falcons,Atlanta Falcons,J.J. McCarthy,QB,1,1,1,1.0,1.0,1,1,8.0,8.0,8,8,292,0.003424657534246575
atlanta-falcons,Atlanta Falcons,Michael Penix Jr.,QB,1,1,1,1.0,1.0,1,1,8.0,8.0,8,8,292,0.003424657534246575
atlanta-falcons,Atlanta Falcons,Kool-Aid McKinstry,CB,1,1,1,1.0,1.0,1,1,23.0,23.0,23,23,292,0.003424657534246575
atlanta-falcons,Atlanta Falcons,Demeioun Robinson,EDGE,1,1,1,1.0,1.0,1,1,28.0,28.0,28,28,292,0.003424657534246575
baltimore-ravens,Baltimore Ravens,Tyler Guyton,OT,47,47,41,1.0212765957446808,1.0,1,2,30.51063829787234,30.0,23,62,267,0.1760299625468165
baltimore-ravens,Baltimore Ravens,Jordan Morgan,OT,42,42,41,1.0238095238095237,1.0,1,2,30.428571428571427,30.0,30,46,267,0.15730337078651685
baltimore-ravens,Baltimore Ravens,Kool-Aid McKinstry,CB,19,19,19,1.0,1.0,1,1,30.0,30.0,30,30,267,0.07116104868913857
baltimore-ravens,Baltimore Ravens,Amarius Mims,OT,18,18,16,1.0,1.0,1,1,29.77777777777778,30.0,26,30,267,0.06741573033707865
baltimore-ravens,Baltimore Ravens,Demeioun Robinson,EDGE,18,18,18,1.0555555555555556,1.0,1,2,31.77777777777778,30.0,30,62,267,0.06741573033707865
baltimore-ravens,Baltimore Ravens,Ladd McConkey,WR,14,14,13,1.0,1.0,1,1,30.0,30.0,30,30,267,0.052434456928838954
baltimore-ravens,Baltimore Ravens,Graham Barton,IOL,13,13,13,1.0,1.0,1,1,30.0,30.0,30,30,267,0.04868913857677903
baltimore-ravens,Baltimore Ravens,Darius Robinson,EDGE,12,12,12,1.0,1.0,1,1,30.0,30.0,30,30,267,0.0449438202247191
baltimore-ravens,Baltimore Ravens,Nate Wiggins,CB,12,12,12,1.0,1.0,1,1,30.0,30.0,30,30,267,0.0449438202247191
