author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
Kevin Hickey,Colts Wire,1,45.83333333333333,11.0,0.4583333333333333,0.0,0.0,0.125,0.0,0.625,1.0,0.125,0.5,0.0,11.0,0.4583333333333333,
Vasilios Nikolaou,Ravens Wire,1,44.44444444444444,4.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,4.0,0.4444444444444444,
Erik Williams,Panthers Wire,1,42.857142857142854,9.0,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.2857142857142857,9.0,0.42857142857142855,
Kyle Daubs,Browns Nation,1,42.857142857142854,9.0,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.2857142857142857,9.0,0.42857142857142855,
Matthew McFatridge,Dawg Pound Daily,1,42.857142857142854,9.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.5714285714285714,0.14285714285714285,9.0,0.42857142857142855,
Shawn Stevenson,Browns Digest,1,42.857142857142854,9.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.42857142857142855,0.42857142857142855,9.0,0.42857142857142855,
John Ellis,Cat Crave,1,41.66666666666667,10.0,0.4166666666666667,0.125,0.0,0.25,0.0,0.375,0.875,0.25,0.25,0.0,10.0,0.4166666666666667,
Manish Mehta,NY Daily News,1,41.66666666666667,10.0,0.4166666666666667,0.25,0.0,0.125,0.0,0.5,0.875,0.125,0.375,0.125,10.0,0.4166666666666667,
Luke Parrish,The Viking Age,1,41.66666666666667,15.0,0.4166666666666667,0.08333333333333333,0.0,0.08333333333333333,0.0,0.25,0.75,0.08333333333333333,0.3333333333333333,0.3333333333333333,15.0,0.4166666666666667,
Aric DiLalla,DenverBroncos.com,1,40.0,6.0,0.4,0.2,0.0,0.4,0.0,0.2,1.0,0.2,0.2,0.2,6.0,0.4,
Phil Milani,DenverBroncos.com,1,40.0,6.0,0.4,0.2,0.0,0.2,0.0,1.0,1.0,0.2,0.2,0.2,6.0,0.4,
Sayre Bedinger,NFL Mocks,1,38.88888888888889,7.0,0.3888888888888889,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.5,7.0,0.3888888888888889,
Jeremy Juhasz,Bills Wire,1,38.88888888888889,7.0,0.3888888888888889,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.0,7.0,0.3888888888888889,
Peter Panacy,Niner Noise,1,38.095238095238095,8.0,0.38095238095238093,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,8.0,0.38095238095238093,
Levi Damien,Raiders Wire,1,38.095238095238095,8.0,0.38095238095238093,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.5714285714285714,0.0,8.0,0.38095238095238093,
Dave Zangaro,NBC Sports Philadelphia,1,37.5,9.0,0.375,0.25,0.0,0.125,0.0,0.375,1.0,0.125,0.25,0.25,9.0,0.375,
Nick Ellis,Just Blog Baby,1,37.5,9.0,0.375,0.25,0.0,0.125,0.0,0.375,1.0,0.125,0.375,0.0,9.0,0.375,
Steven Blush,The Jet Press,1,37.5,9.0,0.375,0.125,0.0,0.125,0.0,0.5,0.875,0.125,0.25,0.25,9.0,0.375,
Michael Natelli,Ebony Bird,1,37.03703703703704,10.0,0.37037037037037035,0.2222222222222222,0.0,0.1111111111111111,0.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.2222222222222222,0.3333333333333333,10.0,0.37037037037037035,
Phillip Heilman,Denver Post,1,37.03703703703704,10.0,0.37037037037037035,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.7777777777777778,0.0,0.4444444444444444,0.2222222222222222,10.0,0.37037037037037035,
Darin McCann,Ebony Bird,1,37.03703703703704,10.0,0.37037037037037035,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888,0.0,0.4444444444444444,0.2222222222222222,10.0,0.37037037037037035,
Jon Heath,Broncos Wire,1,33.33333333333333,10.0,0.3333333333333333,0.3,0.0,0.2,0.0,0.1,0.9,0.1,0.1,0.5,10.0,0.3333333333333333,
Lester A. Wiltfong Jr.,Windy City Gridiron,1,33.33333333333333,6.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0,0.3333333333333333,
Brian Costello,NY Post,1,33.33333333333333,8.0,0.3333333333333333,0.375,0.0,0.125,0.0,0.25,0.875,0.125,0.25,0.125,8.0,0.3333333333333333,
Art Stapleton,North Jersey,1,33.33333333333333,10.0,0.3333333333333333,0.1,0.0,0.1,0.0,0.3,0.8,0.1,0.3,0.1,10.0,0.3333333333333333,
Will Ragatz,Inside The Vikings,1,33.33333333333333,11.0,0.3333333333333333,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0,0.2727272727272727,0.45454545454545453,11.0,0.3333333333333333,
Steve Lichtenstein,WFAN,1,33.33333333333333,6.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,
Randy Gurzi,NFL Spin Zone,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.42857142857142855,0.14285714285714285,7.0,0.3333333333333333,
Randy Gurzi,With The First Pick,1,33.33333333333333,7.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.42857142857142855,0.14285714285714285,7.0,0.3333333333333333,
Bryan Anthony Davis,Behind The Steel Curtain,1,33.33333333333333,6.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,6.0,0.3333333333333333,
