year,team_slug,team_name,team_code,team_city,team_page_url,pick,window_name,rank,count,player_name,player_position,college_name,player_url
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_week,1,36,Jedrick Wills Jr.,OT,Alabama,https://www.nflmockdraftdatabase.com/players/2020/jedrick-wills-jr
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_week,2,31,Tristan Wirfs,OT,Iowa,https://www.nflmockdraftdatabase.com/players/2020/tristan-wirfs
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_week,3,24,Derrick Brown,DL,Auburn,https://www.nflmockdraftdatabase.com/players/2020/derrick-brown
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_week,4,18,Isaiah Simmons,LB,Clemson,https://www.nflmockdraftdatabase.com/players/2020/isaiah-simmons
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_week,4,22,Other,,,https://www.nflmockdraftdatabase.com
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,two_weeks,1,14,Tristan Wirfs,OT,Iowa,https://www.nflmockdraftdatabase.com/players/2020/tristan-wirfs
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,two_weeks,2,14,Jedrick Wills Jr.,OT,Alabama,https://www.nflmockdraftdatabase.com/players/2020/jedrick-wills-jr
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,two_weeks,3,5,Mekhi Becton,OT,Louisville,https://www.nflmockdraftdatabase.com/players/2020/mekhi-becton
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,two_weeks,4,2,Derrick Brown,DL,Auburn,https://www.nflmockdraftdatabase.com/players/2020/derrick-brown
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,two_weeks,4,2,Other,,,https://www.nflmockdraftdatabase.com
2020,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,8,one_month,1,21,Jedrick Wills Jr.,OT,Alabama,https://www.nflmockdraftdatabase.com/players/2020/jedrick-wills-jr
