author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Jason Pruett,DRAFTPLEX,1,55.208333333333336,53.0,0.5520833333333334,0.84375,0.375,0.40625,0.46875,0.84375,1.0,6.4375
Logan Ulrich,NFL Trade Rumors,1,52.083333333333336,50.0,0.5208333333333334,0.75,0.40625,0.40625,0.53125,0.75,1.0,8.3125
Ben Allbright,Pro Football Network,1,51.041666666666664,49.0,0.5104166666666666,0.78125,0.34375,0.375,0.5,0.78125,1.0,7.625
Jacob Camenker,Riggo's Rag,1,51.041666666666664,49.0,0.5104166666666666,0.78125,0.3125,0.375,0.375,0.78125,1.0,8.09375
Nate Bouda,NFL Trade Rumors,1,51.041666666666664,49.0,0.5104166666666666,0.78125,0.3125,0.375,0.46875,0.78125,1.0,5.9375
Steve Serby,NY Post,1,51.041666666666664,49.0,0.5104166666666666,0.84375,0.28125,0.34375,0.5,0.84375,1.0,5.46875
Eddie Brown,San Diego Union Tribune,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.375,0.34375,0.53125,0.78125,1.0,8.5
Tyler Jacobs,Stadium,1,48.95833333333333,47.0,0.4895833333333333,0.78125,0.21875,0.34375,0.40625,0.78125,1.0,9.15625
Scott Smith,Action Network,1,48.95833333333333,47.0,0.4895833333333333,0.84375,0.375,0.3125,0.46875,0.84375,1.0,5.15625
Dave Birkett,Detroit Free Press,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.375,0.34375,0.40625,0.75,1.0,8.03125
Peter King,NBC Sports,1,47.91666666666667,46.0,0.4791666666666667,0.75,0.3125,0.34375,0.4375,0.75,1.0,8.46875
Zack Cox,NESN,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.21875,0.3125,0.53125,0.8125,1.0,9.0625
Tyler Lauletta,Business Insider,1,47.31182795698925,44.0,0.4731182795698925,0.7096774193548387,0.22580645161290322,0.3548387096774194,0.4838709677419355,0.7096774193548387,1.0,9.580645161290322
Albert Breer,Sports Illustrated,1,46.875,45.0,0.46875,0.78125,0.28125,0.3125,0.53125,0.78125,1.0,6.6875
Peter Schrager,NFL.com,1,46.875,45.0,0.46875,0.78125,0.21875,0.3125,0.3125,0.78125,1.0,8.3125
Scotty Payne,Mile High Report,1,46.875,45.0,0.46875,0.78125,0.34375,0.3125,0.375,0.78125,1.0,7.1875
Shawn Wagner,Acme Packing Company,1,46.875,45.0,0.46875,0.78125,0.25,0.3125,0.40625,0.78125,1.0,8.9375
Nick Guarisco,Big Easy Sports Talk,1,45.83333333333333,44.0,0.4583333333333333,0.75,0.3125,0.3125,0.5625,0.75,1.0,9.53125
Ryan Phillips,The Big Lead,1,45.83333333333333,44.0,0.4583333333333333,0.75,0.28125,0.3125,0.53125,0.75,1.0,8.53125
Dan Hope,Eleven Warriors,1,44.79166666666667,43.0,0.4479166666666667,0.78125,0.25,0.28125,0.375,0.78125,1.0,7.46875
