player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Jeffrey Okudah,CB,182,180,169,1.0,1.0,1,1,4.34065934065934,3.0,2,11,10,Detroit Lions,detroit-lions
K'Lavon Chaisson,EDGE,182,180,169,1.0,1.0,1,1,17.98901098901099,17.0,8,32,21,Dallas Cowboys,dallas-cowboys
Isaiah Simmons,LB,181,180,169,1.0,1.0,1,1,6.558011049723757,7.0,3,15,12,Carolina Panthers,carolina-panthers
Tua Tagovailoa,QB,180,179,168,1.0,1.0,1,1,6.4222222222222225,5.0,2,27,10,Miami Dolphins,miami-dolphins
Derrick Brown,DL,180,180,169,1.0,1.0,1,1,8.488888888888889,8.0,3,29,14,Carolina Panthers,carolina-panthers
Jedrick Wills Jr.,OT,180,179,168,1.0,1.0,1,1,9.072222222222223,8.0,4,18,11,Arizona Cardinals,arizona-cardinals
Mekhi Becton,OT,180,180,169,1.0,1.0,1,1,11.033333333333333,11.0,4,26,12,New York Jets,new-york-jets
Joe Burrow,QB,179,179,168,1.0,1.0,1,1,1.005586592178771,1.0,1,2,3,Cincinnati Bengals,cincinnati-bengals
Chase Young,EDGE,179,179,168,1.0,1.0,1,1,2.0335195530726256,2.0,1,4,4,Washington Commanders,washington-commanders
Andrew Thomas,OT,179,179,168,1.0,1.0,1,1,10.703910614525139,10.0,3,29,13,Cleveland Browns,cleveland-browns
CeeDee Lamb,WR,179,179,168,1.0,1.0,1,1,12.156424581005586,12.0,8,21,12,Las Vegas Raiders,las-vegas-raiders
Jerry Jeudy,WR,179,179,168,1.0,1.0,1,1,12.553072625698324,12.0,3,28,13,Las Vegas Raiders,las-vegas-raiders
Henry Ruggs III,WR,179,179,168,1.0,1.0,1,1,13.776536312849162,13.0,4,21,14,Denver Broncos,denver-broncos
Tristan Wirfs,OT,178,178,167,1.0,1.0,1,1,7.050561797752809,8.0,3,15,14,New York Giants,new-york-giants
Javon Kinlaw,DL,178,177,166,1.0,1.0,1,1,14.4438202247191,15.0,7,28,16,Jacksonville Jaguars,jacksonville-jaguars
Justin Herbert,QB,177,177,166,1.0,1.0,1,1,6.966101694915254,6.0,1,32,8,Los Angeles Chargers,los-angeles-chargers
C.J. Henderson,CB,177,177,166,1.0,1.0,1,1,13.209039548022599,15.0,7,28,11,Atlanta Falcons,atlanta-falcons
Justin Jefferson,WR,177,177,166,1.0,1.0,1,1,20.52542372881356,21.0,11,31,15,Philadelphia Eagles,philadelphia-eagles
Patrick Queen,LB,165,165,155,1.0,1.0,1,1,24.4,24.0,14,32,15,New Orleans Saints,new-orleans-saints
