section,year,cache_id,mock_relative_url,mock_absolute_url,mock_name,author_name,published_at,description,intro,external_url,rankings_url,completed_url,completion_percentage,completion_place,most_accurate,temporary_mock,scheduled_to_be_deleted,time_left_before_deletion,top_authors_count,twitter,user_mock,user_premium,selection_count,previous_mock_date_count,source_team_slug,source_team_name,source_team_code,source_team_city,source_team_page_url,source_team_page_number,source_team_total_pages,source_team_year,list_rank
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/cardinals-nfl-mocks-2020-dan-schmelzer?date=2020-04-19,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/cardinals-nfl-mocks-2020-dan-schmelzer?date=2020-04-19,NFL Mocks,Dan Schmelzer,04/19/20,"Complete 7-round 2020 NFL mock draft for the Arizona Cardinals : In this seven-round 2020 NFL mock draft, the Arizona Cardinals focus on their positions of need on both sides of the ball. - Page 2",,https://nflmocks.com/2020/04/19/2020-nfl-mock-draft-arizona-cardinals/2/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,10/10/2019 09:04pm CDT,0,DSchmelzerFS,False,False,6,1,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2020,1
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/cardinals-cards-wire-2020-jess-root?date=2020-04-12,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/cardinals-cards-wire-2020-jess-root?date=2020-04-12,Cards Wire,Jess Root,04/12/20,New mock draft simulation nets Cardinals 2 extra 3rd-round picks with trade : Arizona ends up with two extra third-round picks after trading down and landing one of the top corners in the draft.,,https://cardswire.usatoday.com/2020/04/12/nfl-mock-draft-simulation-arizona-cardinals-trade-2/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,03/01/2020 03:01pm CST,0,senorjessroot,False,False,8,1,arizona-cardinals,Arizona Cardinals,ARI,Arizona,https://www.nflmockdraftdatabase.com/teams/2026/arizona-cardinals,1,1,2020,2
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/falcons-fansided-2020-john-buhler?date=2020-04-13,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/falcons-fansided-2020-john-buhler?date=2020-04-13,Fansided,John Buhler,04/13/20,Atlanta Falcons full 2020 NFL mock draft : The Atlanta Falcons have six picks in the upcoming 2020 NFL Draft to build on what the team did in free agency. Here is their latest 2020 NFL mock draft.,,https://fansided.com/2020/04/13/atlanta-falcons-2020-nfl-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,03/30/2020 09:25pm CDT,0,buhler118,False,False,6,1,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,1,1,2020,3
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/falcons-nfl-mocks-2020-david-glancy?date=2020-04-16,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/falcons-nfl-mocks-2020-david-glancy?date=2020-04-16,NFL Mocks,David Glancy,04/16/20,"Atlanta Falcons 7-round 2020 NFL mock draft: Focus is on the defense : After a poor start to the 2019 season, the Atlanta Falcons won six of their last eight games and look to build on their strong finish through the draft. - Page 2","The Atlanta Falcons couldn’t have looked more like a different team by the end of the 2019 season. After starting the season 1-8, the Falcons looked set to fire head coach Dan Quinn and have a top pick in the 2020 NFL Draft. After a shocking 26-9 win in New Orleans, the Falcons went on a run, ending the season 6-2 and winning their last four games, giving Quinn another year.",https://nflmocks.com/2020/04/16/atlanta-falcons-mock-draft-focus-defense/2/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,01/05/2021 11:02pm CST,0,dcglancy,False,False,6,1,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,1,1,2020,4
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/falcons-the-falcoholic-2020-kevin-knight?date=2020-04-23,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/falcons-the-falcoholic-2020-kevin-knight?date=2020-04-23,The Falcoholic,Kevin Knight,04/23/20,"Falcons 7-Round Mock Draft: Final Countdown Edition : The day has come. The 2020 NFL Draft is finally here, and with it comes one final 7-round mock draft. Do the Falcons trade-up, and if so, who are they targeting? How would such a trade impact the rest of Atlanta’s draft class?",,https://www.thefalcoholic.com/2020/4/23/21230093/falcons-7-round-mock-draft-final-countdown-edition-nfl-2020-isaiah-simmons-justin-madubuike?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,11/17/2019 12:01pm CST,0,FalcoholicKevin,False,False,6,1,atlanta-falcons,Atlanta Falcons,ATL,Atlanta,https://www.nflmockdraftdatabase.com/teams/2026/atlanta-falcons,1,1,2020,5
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/ravens-ebony-bird-2020-michael-natelli?date=2020-04-16,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/ravens-ebony-bird-2020-michael-natelli?date=2020-04-16,Ebony Bird,Michael Natelli,04/16/20,"2020 NFL Mock Draft: Ravens trade up for an Alabama receiver : The Baltimore Ravens are looking to build an ""undefendable"" offense, so we did a mock draft that would give them the pieces to make that happen. - Page 2",,https://ebonybird.com/2020/04/16/baltimore-ravens-mock-draft-natellis-revolution-2-0-edition/2/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,04/23/2020 11:06pm CDT,0,MichaelNatelli,False,False,9,1,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,1,1,2020,6
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/ravens-ebony-bird-2020-mike-reid?date=2020-04-21,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/ravens-ebony-bird-2020-mike-reid?date=2020-04-21,Ebony Bird,Mike Reid,04/21/20,"Mike Reid’s seven-round Baltimore Ravens 2020 NFL Draft mock : We have 2020 NFL Draft mocks a plenty to get your fix. Here's Mike Reid's final, seven-round mock draft for the Baltimore Ravens.",,https://ebonybird.com/2020/04/21/mike-reid-seven-round-ravens-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,04/28/2020 11:01pm CDT,0,Ravens_Reid,False,False,9,1,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,1,1,2020,7
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/ravens-nfl-mocks-2020-nicholas-price?date=2020-04-10,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/ravens-nfl-mocks-2020-nicholas-price?date=2020-04-10,NFL Mocks,Nicholas Price,04/10/20,"Complete seven-round 2020 NFL mock draft for the Baltimore Ravens : With only a few glaring needs on their roster, the Baltimore Ravens head into the 2020 NFL Draft with plenty of ammo to get the job done. - Page 2",,https://nflmocks.com/2020/04/10/mock-draft-baltimore-ravens/2/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,01/22/2020 10:03am CST,0,PriceCheck3,False,False,9,1,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,1,1,2020,8
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/ravens-ebony-bird-2020-darin-mccann?date=2020-04-19,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/ravens-ebony-bird-2020-darin-mccann?date=2020-04-19,Ebony Bird,Darin McCann,04/19/20,NFL Mock Draft: Baltimore Ravens trade out of first round : The Baltimore Ravens trade back here in this mock draft to start the NFL Draft week. This is a big mock draft with a big trade back.,,https://ebonybird.com/2020/04/19/ravens-trade-first-final-mock-draft/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,04/19/2020 10:44pm CDT,0,DarinMccann,False,False,9,1,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,1,1,2020,9
teams,2020,team_mocks/Show-0,/team-mock-drafts/2020/ravens-ravens-wire-2020-vasilios-nikolaou?date=2020-04-15,https://www.nflmockdraftdatabase.com/team-mock-drafts/2020/ravens-ravens-wire-2020-vasilios-nikolaou?date=2020-04-15,Ravens Wire,Vasilios Nikolaou,04/15/20,"Ravens mock draft, probability edition: Picking the best player available most often : A comprehensive look at which players will be available most often for the Baltimore Ravens in the 2020 NFL Draft and creating a mock draft",,https://ravenswire.usatoday.com/2020/04/15/2020-nfl-draft-baltimore-ravens-mock-draft-probability-edition/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,,,False,False,False,04/22/2020 09:35pm CDT,0,VasiliosWBAL,False,False,3,1,baltimore-ravens,Baltimore Ravens,BAL,Baltimore,https://www.nflmockdraftdatabase.com/teams/2026/baltimore-ravens,1,1,2020,10
