section,year,cache_id,mock_relative_url,mock_absolute_url,mock_name,author_name,published_at,description,intro,external_url,rankings_url,completed_url,completion_percentage,completion_place,most_accurate,temporary_mock,scheduled_to_be_deleted,time_left_before_deletion,top_authors_count,twitter,user_mock,user_premium,selection_count,previous_mock_date_count,list_rank
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/nfl-trade-rumors-2020-logan-ulrich?date=2020-04-22,https://www.nflmockdraftdatabase.com/mock-drafts/2020/nfl-trade-rumors-2020-logan-ulrich?date=2020-04-22,NFL Trade Rumors,Logan Ulrich,04/21/20,Two-Round 2020 NFL Mock Draft 4.0 | NFLTradeRumors.co ,,https://nfltraderumors.co/2020-nfl-mock-draft-4-0/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,42.55%,1st,True,False,False,04/09/2020 10:17pm CDT,1,loganulrich,False,False,32,1,1
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/drafttek-2020?date=2020-04-24,https://www.nflmockdraftdatabase.com/mock-drafts/2020/drafttek-2020?date=2020-04-24,Drafttek,Staff,04/23/20,2020 NFL Mock Draft ,,https://www.drafttek.com/2020-NFL-Mock-Draft/2020-NFL-Mock-Draft-Round-1.asp?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,30.77%,32nd,False,False,False,07/28/2019 01:01pm CDT,0,Drafttek,False,False,32,1,2
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/nbc-san-diego-2020-derek-togerson?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/nbc-san-diego-2020-derek-togerson?date=2020-04-23,NBC San Diego,Derek Togerson,04/23/20,"NBC 7's NFL Mock Draft 2020 : The 2020 NFL Draft is going to be different as teams must do things virtually. It’s also potentially going to be wild. At least, that’s what I’m hoping...","No in-person visits mean talent evaluators are going to have to lean more on tape … you know, how a guy actually plays football on the field … and less on what he looks like running around in shorts doing drills (I know, this is a novel concept for many in the National Football League).",https://www.nbcsandiego.com/news/local/nbc-7s-nfl-mock-draft-2020/2311639/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,9.86%,423rd,False,False,False,01/11/2021 10:05pm CST,0,DerekNBCSD,False,False,32,1,3
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/tankathon-2020?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/tankathon-2020?date=2020-04-23,Tankathon,Staff,04/23/20,2020 NFL Mock Draft : 2020 NFL Mock Draft. Order updated after every game. Team needs are factored into the player selections.,,http://www.tankathon.com/nfl/mock_draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,28.13%,60th,False,False,False,05/06/2019 11:45pm CDT,1,tankathon,False,False,32,1,4
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/cbs-2020-dan-schneier?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/cbs-2020-dan-schneier?date=2020-04-23,CBS,Dan Schneier,04/23/20,"2020 NFL Mock Draft Days 1 and 2: Four teams aggressively trade into the top-10, one quarterback slides far : The top of the quarterback class is safe, but after the big three comes a big slide","The 2020 NFL Draft is now just hours away. In the next few days you will likely be hearing a flurry of rumors and reports about team X who wants to trade with team Y, or team X who is interested in prospect X, etc. The best thing you can do is ignore all of it. This is silly season. Draft rumors and reports are more often than not strategically and purposely leaked by agents or organizations prior to the draft. My plan is to skim over all of that and not let it impact my mock draft below. There will be trades, albeit fewer than usual due to the circumstances, so keep that in mind when reading through this mock. For reference, I used CBS Sports' draft trade value chart.",https://www.cbssports.com/nfl/draft/news/2020-nfl-mock-draft-days-1-and-2-four-teams-aggressively-trade-into-the-top-10-one-quarterback-slides-far/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,17.31%,335th,False,False,False,10/29/2021 05:23pm CDT,0,DanSchneierNFL,False,False,32,2,5
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/nfl-draft-rite-2020-destin-adams?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/nfl-draft-rite-2020-destin-adams?date=2020-04-23,NFL Draft Rite,Destin Adams,04/23/20,Destin's Final 1st Round Mock 2020 « ,,https://nfldraftrite.com/2020/04/23/destins-final-1st-round-mock-2020/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,14.42%,379th,False,False,False,04/21/2020 09:47pm CDT,0,destin_adams14,False,False,32,1,6
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/cbs-2020-jason-la-canfora?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/cbs-2020-jason-la-canfora?date=2020-04-23,CBS,Jason La Canfora,04/23/20,NFL Mock Draft 2020: Patriots trade up for Tua Tagovailoa in Jason La Canfora's one and only mock draft : Is Bill Belichick going to land his next franchise quarterback on Thursday? It's almost time to find out,,https://www.cbssports.com/nfl/draft/news/2020-nfl-mock-draft-patriots-trade-up-for-tua-tagovailoa-in-jason-la-canforas-one-and-only-mock/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,30.77%,31st,False,False,False,04/30/2020 04:09pm CDT,0,JasonLaCanfora,False,False,32,1,7
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/rotoworld-2020-thor-nystrom?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/rotoworld-2020-thor-nystrom?date=2020-04-23,Rotoworld,Thor Nystrom,04/23/20,Mock Drafts: Thor's Final 2020 Mock Draft - Fantasy Columns : Thor Nystrom runs through one last mock in advance of Thursday's start to the NFL Draft.,,https://www.rotoworld.com/article/mock-drafts/thors-final-2020-mock-draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,25.24%,130th,False,False,False,12/03/2019 10:38am CST,0,thorku,False,False,32,1,8
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/draftwire-2020-luke-easterling?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/draftwire-2020-luke-easterling?date=2020-04-23,Draftwire,Luke Easterling,04/23/20,"2020 NFL mock draft: Final 1st-round projections with trades : Luke Easterling makes his final projections for the first round of the 2020 NFL Draft, with a handful of big trades and surprise picks","The wait is nearly over, NFL fans. In just mere hours, the 2020 NFL Draft will finally kick off, and the strangest predraft process in recent memory will crescendo in (hopefully) a glitch-free virtual experience. Before the real action gets rolling, here’s my final attempt at projecting how the top 32 picks will shake out, including a handful of trades. This is how I think the first round might unfold, rather than the picks I would make if I had the chance.",https://draftwire.usatoday.com/2020/04/23/2020-nfl-mock-draft-trades-1st-round-final-joe-burrow-tua-tagovailoa-justin-herbert-chase-young/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,14.42%,378th,False,False,False,05/06/2019 10:55pm CDT,1,LukeEasterling,False,False,32,2,9
mock-drafts,2020,mocks/Show-0,/mock-drafts/2020/bleeding-green-nation-2020-ben-natan?date=2020-04-23,https://www.nflmockdraftdatabase.com/mock-drafts/2020/bleeding-green-nation-2020-ben-natan?date=2020-04-23,Bleeding Green Nation,Ben Natan,04/23/20,"2020 NFL Mock Draft: Final 32 first round picks, with trades! : Including a bold move by the Eagles.",,https://www.bleedinggreennation.com/2020/4/23/21233043/2020-nfl-mock-draft-final-picks-first-round-32-picks-eagles-trade-rumors-ceedee-lamb-wide-receiver?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,https://www.nflmockdraftdatabase.com/big-boards/2020/consensus-big-board-2020,https://www.nflmockdraftdatabase.com/mock-drafts/2020/final-scores,11.3%,414th,False,False,False,09/18/2019 01:01pm CDT,0,TheBenNatan,False,False,31,1,10
