team_slug,team_name,player_position,mock_count,unique_players,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick
arizona-cardinals,Arizona Cardinals,EDGE,182,6,1.0054945054945055,1.0,1,2,3.8461538461538463,3.0,3,38
arizona-cardinals,Arizona Cardinals,OT,68,5,1.0,1.0,1,1,5.823529411764706,3.0,3,27
arizona-cardinals,Arizona Cardinals,CB,32,4,1.0,1.0,1,1,9.1875,10.5,3,22
arizona-cardinals,Arizona Cardinals,DL,15,3,1.0,1.0,1,1,7.533333333333333,4.0,3,29
arizona-cardinals,Arizona Cardinals,RB,4,2,1.0,1.0,1,1,17.25,17.5,3,31
arizona-cardinals,Arizona Cardinals,QB,2,2,1.0,1.0,1,1,3.0,3.0,3,3
arizona-cardinals,Arizona Cardinals,WR,2,1,1.0,1.0,1,1,11.0,11.0,11,11
arizona-cardinals,Arizona Cardinals,IOL,1,1,1.0,1.0,1,1,27.0,27.0,27,27
arizona-cardinals,Arizona Cardinals,TE,1,1,1.0,1.0,1,1,29.0,29.0,29,29
atlanta-falcons,Atlanta Falcons,EDGE,113,5,1.0,1.0,1,1,8.380530973451327,8.0,8,16
atlanta-falcons,Atlanta Falcons,RB,90,1,1.011111111111111,1.0,1,2,9.377777777777778,8.0,8,39
atlanta-falcons,Atlanta Falcons,CB,46,5,1.0,1.0,1,1,9.130434782608695,8.0,8,30
atlanta-falcons,Atlanta Falcons,QB,19,3,1.0,1.0,1,1,7.157894736842105,8.0,2,8
atlanta-falcons,Atlanta Falcons,OT,14,3,1.0,1.0,1,1,8.0,8.0,8,8
atlanta-falcons,Atlanta Falcons,DL,10,1,1.0,1.0,1,1,8.0,8.0,8,8
atlanta-falcons,Atlanta Falcons,WR,10,3,1.0,1.0,1,1,11.0,8.0,8,24
baltimore-ravens,Baltimore Ravens,CB,119,10,1.0,1.0,1,1,22.126050420168067,22.0,11,31
baltimore-ravens,Baltimore Ravens,WR,89,6,1.0,1.0,1,1,21.876404494382022,22.0,11,26
baltimore-ravens,Baltimore Ravens,EDGE,41,5,1.024390243902439,1.0,1,2,22.804878048780488,22.0,19,53
baltimore-ravens,Baltimore Ravens,QB,12,2,1.0,1.0,1,1,17.916666666666668,22.0,3,22
baltimore-ravens,Baltimore Ravens,DL,8,3,1.0,1.0,1,1,24.25,22.0,22,31
baltimore-ravens,Baltimore Ravens,RB,5,1,1.0,1.0,1,1,20.4,22.0,14,22
baltimore-ravens,Baltimore Ravens,S,5,1,1.0,1.0,1,1,22.2,22.0,22,23
baltimore-ravens,Baltimore Ravens,TE,4,2,1.0,1.0,1,1,22.0,22.0,22,22
baltimore-ravens,Baltimore Ravens,IOL,3,1,1.0,1.0,1,1,22.0,22.0,22,22
baltimore-ravens,Baltimore Ravens,OT,1,1,1.0,1.0,1,1,22.0,22.0,22,22
buffalo-bills,Buffalo Bills,WR,82,7,1.0,1.0,1,1,26.26829268292683,27.0,19,27
buffalo-bills,Buffalo Bills,LB,43,3,1.0,1.0,1,1,26.976744186046513,27.0,26,27
buffalo-bills,Buffalo Bills,IOL,33,5,1.0,1.0,1,1,27.12121212121212,27.0,27,31
buffalo-bills,Buffalo Bills,DL,32,3,1.0,1.0,1,1,27.0,27.0,27,27
buffalo-bills,Buffalo Bills,RB,30,2,1.0333333333333334,1.0,1,2,27.866666666666667,27.0,23,58
buffalo-bills,Buffalo Bills,EDGE,23,5,1.0,1.0,1,1,26.043478260869566,27.0,5,27
buffalo-bills,Buffalo Bills,OT,15,4,1.0,1.0,1,1,27.0,27.0,27,27
buffalo-bills,Buffalo Bills,CB,11,4,1.0,1.0,1,1,26.90909090909091,27.0,26,27
buffalo-bills,Buffalo Bills,S,11,1,1.0,1.0,1,1,27.272727272727273,27.0,27,30
buffalo-bills,Buffalo Bills,TE,4,3,1.0,1.0,1,1,25.25,27.0,20,27
carolina-panthers,Carolina Panthers,QB,297,4,1.0,1.0,1,1,1.2087542087542087,1.0,1,32
carolina-panthers,Carolina Panthers,WR,2,2,1.0,1.0,1,1,31.0,31.0,30,32
carolina-panthers,Carolina Panthers,EDGE,1,1,1.0,1.0,1,1,24.0,24.0,24,24
carolina-panthers,Carolina Panthers,RB,1,1,1.0,1.0,1,1,31.0,31.0,31,31
chicago-bears,Chicago Bears,OT,212,5,1.0,1.0,1,1,9.382075471698114,9.0,9,32
chicago-bears,Chicago Bears,DL,41,2,1.0,1.0,1,1,9.731707317073171,9.0,9,25
