player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Darnell Wright,OT,27,27,27,1.1851851851851851,1.0,1,2,,,,,11,Pittsburgh Steelers,pittsburgh-steelers
Darnell Washington,TE,20,20,20,1.95,2.0,1,4,,,,,10,Green Bay Packers,green-bay-packers
Dorian Thompson-Robinson,QB,18,18,17,5.833333333333333,6.0,4,7,,,,,14,Detroit Lions,detroit-lions
Jonathan Mingo,WR,18,18,18,3.2777777777777777,3.0,2,6,,,,,13,Indianapolis Colts,indianapolis-colts
Darius Rush,CB,17,17,16,2.823529411764706,3.0,2,3,,,,,11,Dallas Cowboys,dallas-cowboys
Dorian Williams,LB,16,16,16,4.3125,4.0,3,6,,,,,11,Las Vegas Raiders,las-vegas-raiders
Juice Scruggs,IOL,16,16,14,5.25,5.0,4,7,,,,,9,Chicago Bears,chicago-bears
Felix Anudike-Uzomah,EDGE,15,15,15,2.0,2.0,1,3,,,,,10,Chicago Bears,chicago-bears
Keeanu Benton,DL,15,15,15,2.2666666666666666,2.0,2,3,,,,,7,Chicago Bears,chicago-bears
Roschon Johnson,RB,15,15,15,4.0,4.0,3,5,,,,,11,Carolina Panthers,carolina-panthers
Sam LaPorta,TE,15,15,14,2.6,3.0,2,4,,,,,11,Cincinnati Bengals,cincinnati-bengals
Tucker Kraft,TE,15,15,14,2.933333333333333,3.0,2,4,,,,,8,Dallas Cowboys,dallas-cowboys
Viliami Fehoko,EDGE,14,14,13,5.357142857142857,5.0,4,7,,,,,10,New England Patriots,new-england-patriots
Gervon Dexter,DL,13,13,13,2.5384615384615383,3.0,2,3,,,,,7,Chicago Bears,chicago-bears
Zack Kuntz,TE,13,13,13,4.076923076923077,4.0,1,6,,,,,10,Chicago Bears,chicago-bears
Braeden Daniels,IOL,12,12,12,4.666666666666667,5.0,3,6,,,,,9,Cleveland Browns,cleveland-browns
Cory Trice,CB,12,12,12,4.25,4.0,3,5,,,,,9,Dallas Cowboys,dallas-cowboys
Jake Moody,K,12,12,11,6.333333333333333,6.0,5,7,,,,,5,Detroit Lions,detroit-lions
Joe Tippmann,IOL,12,12,12,2.3333333333333335,2.0,2,3,,,,,8,Chicago Bears,chicago-bears
Marte Mapu,LB,12,12,12,5.0,5.0,4,7,,,,,9,Pittsburgh Steelers,pittsburgh-steelers
Bryce Ford-Wheaton,WR,11,11,11,5.2727272727272725,5.0,4,7,,,,,8,Pittsburgh Steelers,pittsburgh-steelers
Clayton Tune,QB,11,11,10,5.7272727272727275,6.0,4,7,,,,,6,Dallas Cowboys,dallas-cowboys
Derick Hall,EDGE,11,11,11,2.3636363636363638,2.0,2,3,,,,,8,Chicago Bears,chicago-bears
Jayden Reed,WR,11,11,11,3.5454545454545454,3.0,3,5,,,,,9,Chicago Bears,chicago-bears
Josh Whyle,TE,11,11,11,5.636363636363637,5.0,5,7,,,,,9,Green Bay Packers,green-bay-packers
Ricky Stromberg,IOL,11,11,9,4.181818181818182,4.0,3,5,,,,,7,Chicago Bears,chicago-bears
Tyrique Stevenson,CB,11,11,11,2.090909090909091,2.0,2,3,,,,,6,Pittsburgh Steelers,pittsburgh-steelers
Cedric Tillman,WR,10,10,8,2.2,2.0,2,3,,,,,6,Detroit Lions,detroit-lions
Dawand Jones,OT,10,10,10,1.7,2.0,1,2,,,,,6,New England Patriots,new-england-patriots
DeMarvion Overshown,LB,10,10,8,4.0,4.0,3,5,,,,,9,Washington Commanders,washington-commanders
Garrett Williams,CB,10,10,10,3.5,3.0,2,5,,,,,9,Las Vegas Raiders,las-vegas-raiders
Isaiah McGuire,EDGE,10,10,9,3.9,4.0,2,6,,,,,7,Cleveland Browns,cleveland-browns
Jaquelin Roy,DL,10,10,10,3.9,4.0,3,5,,,,,8,Chicago Bears,chicago-bears
Karl Brooks,DL,10,10,10,4.3,4.5,3,6,,,,,8,Las Vegas Raiders,las-vegas-raiders
Marvin Mims,WR,10,10,10,2.8,3.0,2,3,,,,,9,Dallas Cowboys,dallas-cowboys
Max Duggan,QB,10,10,10,6.8,7.0,6,7,,,,,7,Dallas Cowboys,dallas-cowboys
Nathaniel Dell,WR,10,10,10,3.1,3.0,2,6,,,,,7,Chicago Bears,chicago-bears
Nick Saldiveri,OT,10,10,10,4.7,5.0,3,7,,,,,9,Denver Broncos,denver-broncos
Anthony Richardson,QB,9,9,9,1.0,1.0,1,1,,,,,4,Indianapolis Colts,indianapolis-colts
Chandler Zavala,IOL,9,9,9,4.0,4.0,3,6,,,,,8,Carolina Panthers,carolina-panthers
Cody Mauch,IOL,9,9,9,2.111111111111111,2.0,2,3,,,,,6,Las Vegas Raiders,las-vegas-raiders
Daiyan Henley,LB,9,9,9,2.888888888888889,3.0,2,4,,,,,5,Las Vegas Raiders,las-vegas-raiders
Daniel Scott,S,9,9,9,5.555555555555555,6.0,5,6,,,,,7,Las Vegas Raiders,las-vegas-raiders
Devon Witherspoon,CB,9,9,9,1.0,1.0,1,1,,,,,6,Las Vegas Raiders,las-vegas-raiders
Israel Abanikanda,RB,9,9,9,4.333333333333333,4.0,3,6,,,,,7,San Francisco 49ers,san-francisco-49ers
Jack Campbell,LB,9,9,9,2.111111111111111,2.0,2,3,,,,,8,Buffalo Bills,buffalo-bills
Jalen Carter,DL,9,9,9,1.0,1.0,1,1,,,,,4,Philadelphia Eagles,philadelphia-eagles
John Michael Schmitz,IOL,9,9,9,1.6666666666666667,2.0,1,2,,,,,6,Houston Texans,houston-texans
Julius Brents,CB,9,9,9,2.4444444444444446,2.0,2,3,,,,,5,New England Patriots,new-england-patriots
Keondre Coburn,DL,9,9,8,5.111111111111111,5.0,4,7,,,,,8,Pittsburgh Steelers,pittsburgh-steelers
Luke Schoonmaker,TE,9,9,9,4.333333333333333,4.0,3,6,,,,,7,Dallas Cowboys,dallas-cowboys
Mazi Smith,DL,9,9,9,2.0,2.0,1,4,,,,,7,New Orleans Saints,new-orleans-saints
Myles Murphy,EDGE,9,9,9,1.0,1.0,1,1,,,,,6,Green Bay Packers,green-bay-packers
Nick Herbig,LB,9,9,9,3.4444444444444446,3.0,3,6,,,,,5,Pittsburgh Steelers,pittsburgh-steelers
Tre'Vius Hodges-Tomlinson,CB,9,9,9,3.4444444444444446,3.0,2,5,,,,,7,Atlanta Falcons,atlanta-falcons
Tyler Scott,WR,9,9,8,3.2222222222222223,3.0,2,4,,,,,5,Carolina Panthers,carolina-panthers
Will McDonald IV,EDGE,9,9,9,1.6666666666666667,2.0,1,2,,,,,8,Pittsburgh Steelers,pittsburgh-steelers
Andrew Vorhees,IOL,8,8,8,4.875,5.0,3,7,,,,,7,Chicago Bears,chicago-bears
Anthony Bradford,IOL,8,8,8,4.625,4.5,3,7,,,,,6,Detroit Lions,detroit-lions
Bijan Robinson,RB,8,8,8,1.0,1.0,1,1,,,,,4,Dallas Cowboys,dallas-cowboys
Brodric Martin,DL,8,8,8,6.375,6.5,5,7,,,,,6,Los Angeles Chargers,los-angeles-chargers
Bryce Young,QB,8,8,8,1.0,1.0,1,1,,,,,3,Carolina Panthers,carolina-panthers
Byron Young (AL),DL,8,8,7,4.5,4.0,3,7,,,,,7,Dallas Cowboys,dallas-cowboys
Isaiah Foskey,EDGE,8,8,8,2.375,2.0,2,3,,,,,5,Chicago Bears,chicago-bears
Ivan Pace Jr.,LB,8,8,8,4.5,4.0,4,6,,,,,8,Carolina Panthers,carolina-panthers
Jake Witt,OT,8,8,8,6.875,7.0,6,7,,,,,7,Chicago Bears,chicago-bears
Joey Porter Jr.,CB,8,8,8,1.0,1.0,1,1,,,,,2,Pittsburgh Steelers,pittsburgh-steelers
Jordan Addison,WR,8,8,8,1.125,1.0,1,2,,,,,4,Houston Texans,houston-texans
Jordan Battle,S,8,8,8,2.875,3.0,2,3,,,,,6,Green Bay Packers,green-bay-packers
Kobie Turner,DL,8,8,8,4.375,4.5,3,5,,,,,4,Chicago Bears,chicago-bears
Moro Ojomo,DL,8,8,8,3.875,4.0,3,5,,,,,6,Cleveland Browns,cleveland-browns
Nolan Smith,EDGE,8,8,8,1.125,1.0,1,2,,,,,7,Los Angeles Chargers,los-angeles-chargers
Paris Johnson Jr.,OT,8,8,8,1.0,1.0,1,1,,,,,5,Chicago Bears,chicago-bears
Peter Skoronski,OT,8,8,7,1.0,1.0,1,1,,,,,5,Chicago Bears,chicago-bears
Riley Moss,CB,8,8,8,4.375,4.5,3,5,,,,,7,New England Patriots,new-england-patriots
Trey Palmer,WR,8,8,8,4.0,4.0,3,5,,,,,7,Cleveland Browns,cleveland-browns
Tyjae Spears,RB,8,8,7,3.375,3.0,3,5,,,,,6,Atlanta Falcons,atlanta-falcons
Zach Harrison,EDGE,8,8,8,3.375,3.5,2,4,,,,,7,Pittsburgh Steelers,pittsburgh-steelers
A.T. Perry,WR,7,7,7,3.0,3.0,3,3,,,,,6,Dallas Cowboys,dallas-cowboys
Atonio Mafi,IOL,7,7,7,5.857142857142857,6.0,5,7,,,,,7,Buffalo Bills,buffalo-bills
Blake Freeland,OT,7,7,7,2.857142857142857,3.0,2,4,,,,,6,Pittsburgh Steelers,pittsburgh-steelers
Brian Branch,S,7,7,7,1.0,1.0,1,1,,,,,5,New York Giants,new-york-giants
Calijah Kancey,DL,7,7,7,1.2857142857142858,1.0,1,2,,,,,6,Philadelphia Eagles,philadelphia-eagles
Cameron Latu,TE,7,7,7,5.142857142857143,5.0,4,7,,,,,5,San Francisco 49ers,san-francisco-49ers
Dante Stills,DL,7,7,7,6.571428571428571,7.0,5,7,,,,,5,Cincinnati Bengals,cincinnati-bengals
Evan Hull,RB,7,7,7,6.285714285714286,6.0,6,7,,,,,6,Las Vegas Raiders,las-vegas-raiders
Jon Gaines,IOL,7,7,7,5.857142857142857,6.0,4,7,,,,,5,New England Patriots,new-england-patriots
Jordan McFadden,IOL,7,7,7,6.0,6.0,5,7,,,,,5,Chicago Bears,chicago-bears
Keaton Mitchell,RB,7,7,7,5.571428571428571,6.0,5,6,,,,,6,San Francisco 49ers,san-francisco-49ers
Luke Musgrave,TE,7,7,7,2.142857142857143,2.0,1,3,,,,,7,Cincinnati Bengals,cincinnati-bengals
Ronnie Bell,WR,7,7,7,6.428571428571429,6.0,6,7,,,,,6,Cincinnati Bengals,cincinnati-bengals
Ronnie Hickman,S,7,7,7,5.0,5.0,4,6,,,,,6,Los Angeles Chargers,los-angeles-chargers
