mock_relative_url,selection_count,player_drafted_matches,round_one_player_matches,player_to_team_matches,round_matches,mean_pick_abs_error,median_pick_abs_error,player_to_pick_matches,team_to_position_matches,player_to_pick_match_rate,player_to_team_match_rate,round_one_player_match_rate,team_to_position_match_rate,round_match_rate,player_drafted_match_rate,simple_score_points,simple_score_max_points,simple_score_rate,custom_accuracy_score,mock_name,author_name,published_at,external_url,metadata_selection_count
/mock-drafts/2023/last-word-on-sports-2023-cade-clodi?date=2023-04-20,10,10,10,3,10,4.0,2.5,3,3,0.3,0.3,1.0,0.3,1.0,1.0,16,30,0.5333333333333333,53.333333333333336,Last Word on Sports,Cade Clodi,04/19/23,https://lastwordonsports.com/nfl/2023/04/20/2023-nfl-mock-draft-the-top-10-picks/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,10
/mock-drafts/2023/sports-gambling-podcast-2023-sean-green?date=2023-04-24,31,31,25,11,25,7.67741935483871,3.0,10,10,0.3225806451612903,0.3548387096774194,0.8064516129032258,0.3225806451612903,0.8064516129032258,1.0,47,93,0.5053763440860215,50.53763440860215,Sports Gambling Podcast,Sean Green,04/23/23,https://www.sportsgamblingpodcast.com/2023/04/24/2023-nfl-mock-draft-sean-green/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/sportsline-2023-rj-white?date=2023-04-27,10,10,9,3,9,4.5,2.0,2,2,0.2,0.3,0.9,0.2,0.9,1.0,15,30,0.5,50.0,Sportsline,RJ White,04/27/23,https://www.sportsline.com/insiders/2023-nfl-mock-draft-eagles-texans-among-six-teams-to-trade-up-in-final-first-round-projection/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,10
/mock-drafts/2023/4-for-4-2023-john-daigle?date=2023-04-27,31,31,26,10,26,6.903225806451613,3.0,6,7,0.1935483870967742,0.3225806451612903,0.8387096774193549,0.22580645161290322,0.8387096774193549,1.0,46,93,0.4946236559139785,49.46236559139785,4 For 4,John Daigle,04/26/23,https://www.4for4.com/2023/preseason/john-daigles-final-2023-nfl-mock-draft?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/nfl-trade-rumors-2023-logan-ulrich?date=2023-04-25,31,31,27,9,27,6.774193548387097,5.0,5,7,0.16129032258064516,0.2903225806451613,0.8709677419354839,0.22580645161290322,0.8709677419354839,1.0,45,93,0.4838709677419355,48.38709677419355,NFL Trade Rumors,Logan Ulrich,04/24/23,https://nfltraderumors.co/2023-nfl-mock-draft-5-0-including-trades/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/pro-football-focus-2023-brad-spielberger?date=2023-04-27,31,31,27,9,27,7.032258064516129,7.0,4,5,0.12903225806451613,0.2903225806451613,0.8709677419354839,0.16129032258064516,0.8709677419354839,1.0,45,93,0.4838709677419355,48.38709677419355,Pro Football Focus,Brad Spielberger,04/27/23,https://www.pff.com/news/draft-2023-nfl-mock-draft-brad-spielberger-final-mock-cj-stroud-lions?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/the-huddle-report-2023-jeremy-bissett?date=2023-04-27,31,31,25,10,25,9.709677419354838,4.0,3,5,0.0967741935483871,0.3225806451612903,0.8064516129032258,0.16129032258064516,0.8064516129032258,1.0,45,93,0.4838709677419355,48.38709677419355,The Huddle Report,Jeremy Bissett,04/27/23,https://www.thehuddlereport.com/blog/?p=3166?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/shaw-local-news-network-2023-hub-arkush?date=2023-04-21,31,31,26,9,26,7.387096774193548,5.0,7,9,0.22580645161290322,0.2903225806451613,0.8387096774193549,0.2903225806451613,0.8387096774193549,1.0,44,93,0.4731182795698925,47.31182795698925,Shaw Local News Network,Hub Arkush,04/21/23,https://www.shawlocal.com/bears/2023/04/21/hub-arkushs-second-2023-mock-draft-teams-starting-to-nail-down-draft-boards/?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
/mock-drafts/2023/the-score-2023-dan-wilkins?date=2023-04-26,32,32,27,9,27,8.53125,5.0,5,8,0.15625,0.28125,0.84375,0.25,0.84375,1.0,45,96,0.46875,46.875,The Score,Dan Wilkins,04/26/23,https://www.thescore.com/nfl/news/2635967?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,32
/mock-drafts/2023/nfl-com-2023-daniel-jeremiah?date=2023-04-26,31,31,25,9,25,8.0,4.0,6,7,0.1935483870967742,0.2903225806451613,0.8064516129032258,0.22580645161290322,0.8064516129032258,1.0,43,93,0.46236559139784944,46.236559139784944,NFL.com,Daniel Jeremiah,04/26/23,https://www.nfl.com/news/daniel-jeremiah-2023-nfl-mock-draft-4-0?utm_source=nflmockdraftdatabase&utm_medium=website&utm_content=read_mock_link,31
