team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
buffalo-bills,Buffalo Bills,Darnell Wright,OT,2,2,2,1.0,1.0,1,1,,,,,38,0.05263157894736842
buffalo-bills,Buffalo Bills,Gervon Dexter,DL,2,2,2,2.5,2.5,2,3,,,,,38,0.05263157894736842
buffalo-bills,Buffalo Bills,Jack Campbell,LB,2,2,2,2.0,2.0,2,2,,,,,38,0.05263157894736842
buffalo-bills,Buffalo Bills,Luke Wypler,IOL,2,2,2,3.5,3.5,3,4,,,,,38,0.05263157894736842
buffalo-bills,Buffalo Bills,Alex Austin,CB,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Atonio Mafi,IOL,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Bijan Robinson,RB,1,1,1,1.0,1.0,1,1,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Braeden Daniels,IOL,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Chandler Zavala,IOL,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Chris Smith II,S,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Darnell Washington,TE,1,1,1,2.0,2.0,2,2,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,DeMarvion Overshown,LB,1,1,1,3.0,3.0,3,3,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Derick Hall,EDGE,1,1,1,2.0,2.0,2,2,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Dorian Thompson-Robinson,QB,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Elijah Higgins,WR,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Evan Hull,RB,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jahmyr Gibbs,RB,1,1,1,1.0,1.0,1,1,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jammie Robinson,S,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jaquelin Roy,DL,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jay Ward,S,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jayden Reed,WR,1,1,1,3.0,3.0,3,3,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Jordan Addison,WR,1,1,1,1.0,1.0,1,1,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,K.J. Henry,EDGE,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Luke Schoonmaker,TE,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Marte Mapu,LB,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Marvin Mims,WR,1,1,1,2.0,2.0,2,2,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Parker Washington,WR,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Payne Durham,TE,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Ricky Stromberg,IOL,1,1,1,4.0,4.0,4,4,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Tuli Tuipulotu,DL,1,1,1,2.0,2.0,2,2,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Viliami Fehoko,EDGE,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Warren McClendon,OT,1,1,1,6.0,6.0,6,6,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Zack Kuntz,TE,1,1,1,5.0,5.0,5,5,,,,,38,0.02631578947368421
buffalo-bills,Buffalo Bills,Zay Flowers,WR,1,1,1,1.0,1.0,1,1,,,,,38,0.02631578947368421
carolina-panthers,Carolina Panthers,Bryce Young,QB,6,6,6,1.0,1.0,1,1,,,,,49,0.12244897959183673
carolina-panthers,Carolina Panthers,Tyler Scott,WR,4,4,4,3.5,3.5,3,4,,,,,49,0.08163265306122448
carolina-panthers,Carolina Panthers,Roschon Johnson,RB,3,3,3,4.0,4.0,4,4,,,,,49,0.061224489795918366
carolina-panthers,Carolina Panthers,C.J. Stroud,QB,2,2,2,1.0,1.0,1,1,,,,,49,0.04081632653061224
carolina-panthers,Carolina Panthers,Chandler Zavala,IOL,2,2,2,4.5,4.5,4,5,,,,,49,0.04081632653061224
carolina-panthers,Carolina Panthers,Andre Carter II,EDGE,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Anfernee Orji,LB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,B.J. Ojulari,EDGE,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Byron Young (AL),DL,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Byron Young (TN),EDGE,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Dalton Kincaid,TE,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,DeMarvion Overshown,LB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,DeWayne McBride,RB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Deuce Vaughn,RB,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Dorian Williams,LB,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Emmanuel Forbes,CB,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Felix Anudike-Uzomah,EDGE,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Garrett Williams,CB,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Isaiah Foskey,EDGE,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Ivan Pace Jr.,LB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Jack Campbell,LB,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Jaquelin Roy,DL,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Jartavius Martin,S,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Ji'Ayir Brown,S,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Jonathan Mingo,WR,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Kayshon Boutte,WR,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Mekhi Garner,CB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Nathaniel Dell,WR,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Olusegun Oluwatimi,IOL,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Owen Pappoe,LB,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Parker Washington,WR,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Starling Thomas V,CB,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Steve Avila,IOL,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Tyjae Spears,RB,1,1,1,5.0,5.0,5,5,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Tyrique Stevenson,CB,1,1,1,3.0,3.0,3,3,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Will McDonald IV,EDGE,1,1,1,2.0,2.0,2,2,,,,,49,0.02040816326530612
carolina-panthers,Carolina Panthers,Zack Kuntz,TE,1,1,1,4.0,4.0,4,4,,,,,49,0.02040816326530612
chicago-bears,Chicago Bears,Kobie Turner,DL,5,5,5,4.6,5.0,4,5,,,,,134,0.03731343283582089
chicago-bears,Chicago Bears,Darnell Wright,OT,4,4,4,1.0,1.0,1,1,,,,,134,0.029850746268656716
chicago-bears,Chicago Bears,Keeanu Benton,DL,4,4,4,2.0,2.0,2,2,,,,,134,0.029850746268656716
chicago-bears,Chicago Bears,Darius Rush,CB,3,3,3,3.0,3.0,3,3,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Derick Hall,EDGE,3,3,3,2.3333333333333335,2.0,2,3,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Felix Anudike-Uzomah,EDGE,3,3,3,2.0,2.0,2,2,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Gervon Dexter,DL,3,3,3,2.3333333333333335,2.0,2,3,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Isaiah Foskey,EDGE,3,3,3,2.3333333333333335,2.0,2,3,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Jalen Carter,DL,3,3,3,1.0,1.0,1,1,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Joe Tippmann,IOL,3,3,3,2.3333333333333335,2.0,2,3,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Jordan McFadden,IOL,3,3,3,6.0,6.0,5,7,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Juice Scruggs,IOL,3,3,3,4.666666666666667,5.0,4,5,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Paris Johnson Jr.,OT,3,3,3,1.0,1.0,1,1,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Ricky Stromberg,IOL,3,3,3,4.333333333333333,4.0,4,5,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Tyrique Stevenson,CB,3,3,3,2.0,2.0,2,2,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Zacch Pickens,DL,3,3,3,3.0,3.0,2,4,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Zack Kuntz,TE,3,3,3,4.666666666666667,5.0,4,5,,,,,134,0.022388059701492536
chicago-bears,Chicago Bears,Adetomiwa Adebawore,EDGE,2,2,2,2.0,2.0,2,2,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Andrew Vorhees,IOL,2,2,2,4.0,4.0,4,4,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Anthony Johnson Jr.,CB,2,2,2,6.0,6.0,5,7,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Jake Witt,OT,2,2,2,7.0,7.0,7,7,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Jaquelin Roy,DL,2,2,2,4.0,4.0,4,4,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Jayden Reed,WR,2,2,2,4.0,4.0,3,5,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Jonathan Mingo,WR,2,2,2,3.5,3.5,3,4,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Mohamed Ibrahim,RB,2,2,2,6.5,6.5,6,7,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Nathaniel Dell,WR,2,2,2,2.0,2.0,2,2,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Peter Skoronski,OT,2,2,2,1.0,1.0,1,1,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Sam LaPorta,TE,2,2,2,3.5,3.5,3,4,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Tuli Tuipulotu,DL,2,2,2,2.0,2.0,2,2,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Wanya Morris,OT,2,2,2,4.0,4.0,4,4,,,,,134,0.014925373134328358
chicago-bears,Chicago Bears,Amari Burney,LB,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Andre Carter II,EDGE,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Anthony Johnson,CB,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Blake Freeland,OT,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Braeden Daniels,IOL,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Broderick Jones,OT,1,1,1,1.0,1.0,1,1,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Brodric Martin,DL,1,1,1,6.0,6.0,6,6,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Bumper Pool,LB,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Chase Brown,RB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Colby Wooden,DL,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Cory Durden,DL,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Cory Trice,CB,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,D.J. Turner,CB,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Dalton Wagner,OT,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Demario Douglas,WR,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Desjuan Johnson,DL,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Deslin Alexandre,DL,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Devon Witherspoon,CB,1,1,1,1.0,1.0,1,1,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Dorian Williams,LB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Elijah Higgins,WR,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Israel Abanikanda,RB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Ivan Pace Jr.,LB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,J.L. Skinner,S,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Jaelyn Duncan,OT,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Jahmyr Gibbs,RB,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Jalen Redmond,DL,1,1,1,6.0,6.0,6,6,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Joey Fisher,OT,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Joshua Pryor,DL,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Karl Brooks,DL,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Keaton Mitchell,RB,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Luke Wypler,IOL,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Malaesala Aumavae-Laulu,OT,1,1,1,6.0,6.0,6,6,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Marte Mapu,LB,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Marvin Mims,WR,1,1,1,3.0,3.0,3,3,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Matthew Bergeron,OT,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Myles Brooks,CB,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Nick Hampton,EDGE,1,1,1,4.0,4.0,4,4,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Nick Saldiveri,OT,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Noah Gindorff,TE,1,1,1,7.0,7.0,7,7,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Payne Durham,TE,1,1,1,5.0,5.0,5,5,,,,,134,0.007462686567164179
chicago-bears,Chicago Bears,Rashee Rice,WR,1,1,1,2.0,2.0,2,2,,,,,134,0.007462686567164179
