author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Ralph Vacchiano,SNY,1,60.0,18.0,0.6,1.0,0.2,0.4,0.5,1.0,1.0,4.1
Steven Cheah,Barstool Sports,1,57.291666666666664,55.0,0.5729166666666666,0.78125,0.25,0.46875,0.25,0.78125,1.0,10.125
John Crumpler,Texans Wire,1,51.66666666666667,31.0,0.5166666666666667,0.95,0.2,0.3,0.4,0.95,1.0,6.45
Charlie Campbell,Walter Football,1,50.0,48.0,0.5,0.8125,0.25,0.34375,0.28125,0.8125,1.0,6.75
Scott Smith,Action Network,1,50.0,48.0,0.5,0.875,0.15625,0.3125,0.25,0.875,1.0,7.25
Anthony Staggs,4 For 4,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.1875,0.28125,0.28125,0.90625,1.0,5.75
Sean Koerner,Action Network,1,48.95833333333333,47.0,0.4895833333333333,0.90625,0.15625,0.28125,0.28125,0.90625,1.0,7.59375
Scotty Payne,Mile High Report,1,47.91666666666667,46.0,0.4791666666666667,0.8125,0.1875,0.3125,0.25,0.8125,1.0,9.03125
Zach Cohen,The Draft Network,1,47.91666666666667,46.0,0.4791666666666667,0.9375,0.15625,0.25,0.1875,0.9375,1.0,7.40625
Eric Edholm,Yahoo Sports,1,46.875,45.0,0.46875,0.78125,0.25,0.3125,0.25,0.78125,1.0,8.9375
Albert Breer,SI,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.25,0.84375,1.0,5.9375
Derek Brown,Fantasy Pros,1,46.875,45.0,0.46875,0.84375,0.15625,0.28125,0.21875,0.84375,1.0,7.09375
Jonathan Jones,CBS,1,46.875,45.0,0.46875,0.84375,0.15625,0.28125,0.1875,0.84375,1.0,8.25
Matt Youmans,VSIN,1,46.875,45.0,0.46875,0.84375,0.25,0.28125,0.28125,0.84375,1.0,9.90625
Michael Middlehurst-Schwartz,USA Today,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.21875,0.84375,1.0,7.59375
Ryan McCrystal,Sharp Football Analysis,1,46.875,45.0,0.46875,0.84375,0.1875,0.28125,0.21875,0.84375,1.0,8.0
Steve Serby,NY Post,1,46.875,45.0,0.46875,0.90625,0.1875,0.25,0.25,0.90625,1.0,6.1875
Tom Downey,Chat Sports,1,46.875,45.0,0.46875,0.90625,0.15625,0.25,0.1875,0.90625,1.0,6.375
Carmen Vitali,The Draft Network,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.15625,0.28125,0.1875,0.8125,1.0,10.0625
James Dator,SB Nation,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.21875,0.28125,0.1875,0.8125,1.0,9.46875
Jason McIntyre,Fox Sports,1,45.83333333333333,44.0,0.4583333333333333,0.8125,0.125,0.28125,0.21875,0.8125,1.0,8.78125
Ari Meirov,Pro Football Focus,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.1875,0.25,0.15625,0.875,1.0,7.9375
Brian Johannes,The Huddle Report,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.25,0.25,0.28125,0.875,1.0,7.0625
Matt Robinson,Battle Red Blog,1,45.83333333333333,44.0,0.4583333333333333,0.875,0.1875,0.25,0.1875,0.875,1.0,7.75
Justin Fried,The Jet Press,1,45.16129032258064,42.0,0.45161290322580644,0.8387096774193549,0.12903225806451613,0.25806451612903225,0.22580645161290322,0.8387096774193549,1.0,8.870967741935484
Staff,Bleacher Report,1,44.79166666666667,43.0,0.4479166666666667,0.78125,0.21875,0.28125,0.28125,0.78125,1.0,8.15625
Donnie Druin,SI,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.15625,0.25,0.21875,0.84375,1.0,9.125
Jesse Pantuosco,Audacity Sports,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.0625,0.25,0.1875,0.84375,1.0,9.90625
Jimmy Kempski,Philly Voice,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.25,0.25,0.34375,0.84375,1.0,6.8125
Miguel Carias,UCSD Guardian,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.125,0.25,0.15625,0.84375,1.0,11.375
Thor Nystrom,NBC Sports,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.125,0.25,0.1875,0.84375,1.0,9.875
Walter Cherepinsky,Walter Football,1,44.79166666666667,43.0,0.4479166666666667,0.84375,0.1875,0.25,0.28125,0.84375,1.0,6.75
Matthew Freedman,Fantasy Pros,1,44.79166666666667,43.0,0.4479166666666667,0.90625,0.125,0.21875,0.28125,0.90625,1.0,6.84375
Staff,Drafticipation,1,44.79166666666667,43.0,0.4479166666666667,0.90625,0.15625,0.21875,0.34375,0.90625,1.0,7.5
Daniel Jeremiah,NFL.com,1,43.75,42.0,0.4375,0.8125,0.15625,0.25,0.1875,0.8125,1.0,6.6875
Geoffrey Godfrey,With The First Pick,1,43.75,42.0,0.4375,0.8125,0.125,0.25,0.15625,0.8125,1.0,12.75
Jeremy Bissett,The Huddle Report,1,43.75,42.0,0.4375,0.8125,0.125,0.25,0.21875,0.8125,1.0,12.59375
Joe Schad,The Palm Beach Post,1,43.75,42.0,0.4375,0.8125,0.21875,0.25,0.28125,0.8125,1.0,9.5625
Sean T. McGuire,NESN,1,43.75,42.0,0.4375,0.8125,0.15625,0.25,0.28125,0.8125,1.0,11.25
Brad Weiss,Fansided,1,43.75,42.0,0.4375,0.875,0.125,0.21875,0.25,0.875,1.0,9.6875
Jacob Camenker,Sporting News,1,43.75,42.0,0.4375,0.875,0.15625,0.21875,0.21875,0.875,1.0,6.28125
Lance Zierlein,NFL.com,1,43.75,42.0,0.4375,0.875,0.15625,0.21875,0.21875,0.875,1.0,8.09375
