team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,George Karlaftis,EDGE,52,52,51,1.0,1.0,1,1,22.96153846153846,23.0,21,23,268,0.19402985074626866
arizona-cardinals,Arizona Cardinals,Zion Johnson,IOL,34,34,33,1.0,1.0,1,1,23.0,23.0,23,23,268,0.12686567164179105
arizona-cardinals,Arizona Cardinals,Trent McDuffie,CB,23,23,21,1.0,1.0,1,1,23.0,23.0,23,23,268,0.08582089552238806
arizona-cardinals,Arizona Cardinals,Jahan Dotson,WR,21,21,18,1.0,1.0,1,1,23.0,23.0,23,23,268,0.07835820895522388
arizona-cardinals,Arizona Cardinals,Treylon Burks,WR,20,20,20,1.0,1.0,1,1,23.0,23.0,23,23,268,0.07462686567164178
arizona-cardinals,Arizona Cardinals,Andrew Booth Jr.,CB,19,19,19,1.0,1.0,1,1,22.842105263157894,23.0,20,23,268,0.0708955223880597
arizona-cardinals,Arizona Cardinals,Devonte Wyatt,DL,15,15,15,1.0,1.0,1,1,23.0,23.0,23,23,268,0.055970149253731345
arizona-cardinals,Arizona Cardinals,Boye Mafe,EDGE,12,12,11,1.0,1.0,1,1,23.583333333333332,23.0,23,30,268,0.04477611940298507
arizona-cardinals,Arizona Cardinals,Kenyon Green,IOL,11,11,11,1.0,1.0,1,1,23.0,23.0,23,23,268,0.041044776119402986
arizona-cardinals,Arizona Cardinals,Tyler Linderbaum,IOL,11,11,11,1.0,1.0,1,1,23.0,23.0,23,23,268,0.041044776119402986
arizona-cardinals,Arizona Cardinals,Kaiir Elam,CB,9,9,9,1.0,1.0,1,1,23.0,23.0,23,23,268,0.033582089552238806
arizona-cardinals,Arizona Cardinals,Chris Olave,WR,6,6,6,1.0,1.0,1,1,23.0,23.0,23,23,268,0.022388059701492536
