team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
arizona-cardinals,Arizona Cardinals,Christian Watson,WR,2,2,2,2.0,2.0,2,2,,,,,26,0.07692307692307693
arizona-cardinals,Arizona Cardinals,Andrew Booth Jr.,CB,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Arnold Ebiketie,EDGE,1,1,1,2.0,2.0,2,2,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Austin Allen,TE,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Brock Hoffman,IOL,1,1,1,6.0,6.0,6,6,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Cam Taylor-Britt,CB,1,1,1,3.0,3.0,3,3,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Christopher Allen,EDGE,1,1,1,6.0,6.0,6,6,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,D.J. Davidson,DL,1,1,1,6.0,6.0,6,6,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Darien Butler,LB,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Decobie Durant,CB,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Drake London,WR,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Dylan Parham,IOL,1,1,1,3.0,3.0,3,3,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Isaiah Weston,WR,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Jalen Pitre,S,1,1,1,1.0,1.0,1,1,,,,,26,0.038461538461538464
arizona-cardinals,Arizona Cardinals,Jaylen Warren,RB,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
