year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2020,arizona-cardinals,Arizona Cardinals,alohigilman,Alohi Gilman,S,S,Notre Dame,general_visit,reported|scheduled,nfltraderumors,1,2,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,andrewthomas,Andrew Thomas,OT,OT,Georgia,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,antoinebrooks,Antoine Brooks,S,S,Maryland,,reported,nfltraderumors,1,1,1,1,0,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,azurkamara,Azur Kamara,DT,DT,Kansas,general_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,brandonaiyuk,Brandon Aiyuk,WR,WR,Arizona State,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,ceedeelamb,CeeDee Lamb,WR,WR,Oklahoma,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,curtisweaver,Curtis Weaver,DE,DE,Boise State,general_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,damienlewis,Damien Lewis,G,G,LSU,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,darrelltaylor,Darrell Taylor,LB,LB,Tennessee,general_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,denzelmims,Denzel Mims,WR,WR,Baylor,private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,donovanpeoplesjones,Donovan Peoples-Jones,WR,WR,Michigan,meeting_unspecified,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,enobenjamin,Eno Benjamin,RB,RB,Arizona State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,evanweaver,Evan Weaver,LB,LB,Cal,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,ezracleveland,Ezra Cleveland,OT,OT,Boise State,private_workout,reported|scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,henryruggs,Henry Ruggs III,WR,WR,Alabama,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,jameslynch,James Lynch,DL,DL,Baylor,,reported,nfltraderumors,1,1,1,1,0,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,jedrickwills,Jedrick Wills,OT,OT,Alabama,combine_meeting,reported|scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,jerryjeudy,Jerry Jeudy,WR,WR,Alabama,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,jordanlove,Jordan Love,QB,QB,Utah State,senior_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,joshmetellus,Josh Metellus,S,S,Michigan,senior_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,kennethmurray,Kenneth Murray,LB,LB,Oklahoma,top_30_visit|general_visit,reported,nfltraderumors,1,2,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,kliffkingsbury,Kliff Kingsbury,,,,meeting_unspecified,reported,nfltraderumors,1,1,0,0,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,lamarjackson,Lamar Jackson,CB,CB,Nebraska,senior_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,lekifotu,Leki Fotu,DT,DT,Utah,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,loganwilson,Logan Wilson,LB,LB,Wyoming,pro_day_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,mekhibecton,Mekhi Becton,OT,OT,Louisville,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,michaeldanna,Michael Danna,DE,DE,Michigan,shrine_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,quartneydavis,Quartney Davis,WR,WR,Texas A&M,senior_bowl_meeting|private_meeting,reported,nfltraderumors,1,2,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,roberthunt,Robert Hunt,OL,OL,Louisiana Lafayette,,reported,nfltraderumors,1,1,1,1,0,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,shaquillequarterman,Shaquille Quarterman,LB,LB,Miami,shrine_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,terencesteele,Terence Steele,OT,OT,Texas Tech,general_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,tristanwirfs,Tristan Wirfs,OT,OT,Iowa,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,arizona-cardinals,Arizona Cardinals,zackmoss,Zack Moss,RB,RB,Utah,combine_meeting|meeting_unspecified,reported,nfltraderumors,1,2,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,ajepenesa,A.J. Epenesa,DE,DE,Iowa,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,anferneejennings,Anfernee Jennings,LB,LB,Alabama,meeting_unspecified,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,benkotwica,Ben Kotwica,,,,combine_meeting,reported,nfltraderumors,1,1,0,0,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,charlietaumoepeau,Charlie Taumoepeau,TE,TE,Portland State,senior_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,coltonmckivitz,Colton McKivitz,OT,OT,West Virginia,senior_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,curtisweaver,Curtis Weaver,DE,DE,Boise State,general_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,daviontaylor,Davion Taylor,LB,LB,Colorado,meeting_unspecified,reported|scheduled,nfltraderumors,1,2,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,derrickbrown,Derrick Brown,DT,DT,Auburn,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,ezracleveland,Ezra Cleveland,OT,OT,Boise State,combine_meeting|private_workout,reported|scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,grantdelpit,Grant Delpit,S,S,LSU,,reported,nfltraderumors,1,1,1,1,0,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,hakeemadeniji,Hakeem Adeniji,OT,OT,Kansas,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2020,atlanta-falcons,Atlanta Falcons,jkdobbins,J.K. Dobbins,RB,RB,Ohio State,combine_meeting,reported|scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
