year,source,source_priority,source_url,team_slug,team_name,player_name,player_norm,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,section_label,raw_visit_codes,raw_visit_markers,note
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Jerry Jeudy,jerryjeudy,WR,WR,Alabama,meeting_unspecified,reported,,,,"Cardinals HC Kliff Kingsbury confirmed Arizona met with Oklahoma WR CeeDee Lamb , Alabama WR Jerry Jeudy , and Alabama WR Henry Ruggs III , and that all three were options in the first round: “I’m always looking for a fast outside guy but we’re gonna do what’s best for our organization but those three guys are definitely in play.” ( Josh Weinfuss )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Jordan Love,jordanlove,QB,QB,Utah State,senior_bowl_meeting,reported,,,,Arizona met with Utah State QB Jordan Love Thursday at the Senior Bowl. ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Josh Metellus,joshmetellus,S,S,Michigan,senior_bowl_meeting,reported,,,,Arizona met with Nebraska CB Lamar Jackson and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Kenneth Murray,kennethmurray,LB,LB,Oklahoma,top_30_visit,reported,,,,Oklahoma LB Kenneth Murray said he had a pre-draft Top 30 visit planned with the Cardinals. ( James Palmer )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Kenneth Murray,kennethmurray,LB,LB,Oklahoma,general_visit,reported,,,,Oklahoma LB Kenneth Murray had his private visit with Arizona via video after it was canceled. ( NFLTR )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Kliff Kingsbury,kliffkingsbury,,,,meeting_unspecified,reported,,,,"Cardinals HC Kliff Kingsbury confirmed Arizona met with Oklahoma WR CeeDee Lamb , Alabama WR Jerry Jeudy , and Alabama WR Henry Ruggs III , and that all three were options in the first round: “I’m always looking for a fast outside guy but we’re gonna do what’s best for our organization but those three guys are definitely in play.” ( Josh Weinfuss )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Lamar Jackson,lamarjackson,CB,CB,Nebraska,senior_bowl_meeting,reported,,,,Arizona met with Nebraska CB Lamar Jackson and Michigan S Josh Metellus Wednesday at the Senior Bowl. ( Charlie Campbell )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Leki Fotu,lekifotu,DT,DT,Utah,top_30_visit,scheduled,,,,Utah DT Leki Fotu had a Top 30 visit scheduled with the Cardinals before the shutdown. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Logan Wilson,loganwilson,LB,LB,Wyoming,pro_day_meeting,reported,,,,Wyoming LB Logan Wilson met with the Cardinals before his pro day. ( Tony Pauline )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Mekhi Becton,mekhibecton,OT,OT,Louisville,combine_meeting,reported,,,,Louisville OT Mekhi Becton met with the Cardinals at the Combine. ( Mike Jurecki )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Michael Danna,michaeldanna,DE,DE,Michigan,shrine_bowl_meeting,reported,,,,Arizona met with Michigan DE Michael Danna and Miami LB Shaquille Quarterman at the Shrine Bowl. ( The Draft Network )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Quartney Davis,quartneydavis,WR,WR,Texas A&M,senior_bowl_meeting,reported,,,,"Per Pro Football Network’s Cole Thompson , the Cardinals met with Texas A&M WR Quartney Davis at the Senior Bowl."
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Quartney Davis,quartneydavis,WR,WR,Texas A&M,private_meeting,reported,,,,"The Cardinals had a private meeting with Texas A&M WR Quartney Davis , including a minor workout and board work. ( Justin Melo )"
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Robert Hunt,roberthunt,OL,OL,Louisiana Lafayette,,reported,,,,Louisiana Lafayette OL Robert Hunt was set to meet with the Cardinals before the shutdown. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Shaquille Quarterman,shaquillequarterman,LB,LB,Miami,shrine_bowl_meeting,reported,,,,Arizona met with Michigan DE Michael Danna and Miami LB Shaquille Quarterman at the Shrine Bowl. ( The Draft Network )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Terence Steele,terencesteele,OT,OT,Texas Tech,general_visit,scheduled,,,,Texas Tech OT Terence Steele had a private visit scheduled with the Cardinals before the shutdown. ( Justin Melo )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Tristan Wirfs,tristanwirfs,OT,OT,Iowa,combine_meeting,reported,,,,Iowa OT Tristan Wirfs had a formal interview with the Cardinals at the Combine. ( Jurecki )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Zack Moss,zackmoss,RB,RB,Utah,combine_meeting,reported,,,,Utah RB Zack Moss had a formal interview with the Cardinals at the Combine. ( Josh Newman )
2020,nfltraderumors,2,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,arizona-cardinals,Arizona Cardinals,Zack Moss,zackmoss,RB,RB,Utah,meeting_unspecified,reported,,,,Utah RB Zack Moss had a video meeting with Cardinals RB coach James Saxon . ( Josh Weinfuss )
